,IMXI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.27,53.12,Valuation,0.26863704819277107
Price/Sales (TTM),1.5,19.35,Valuation,0.07751937984496124
Price/Book (MRQ),5.37,19.03,Valuation,0.2821860220704151
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),,0.44520000000000004,Profitability,
Operating Profit Margin (TTM),0.15410000000000001,0.3027,Profitability,0.5090849025437727
Net Profit Margin (TTM),0.11050000000000001,0.23600000000000002,Profitability,0.4682203389830509
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.061900000000000004,-3.5570999999999997,Gowth rates,-0.017401816086137587
EPS Growth (TTM),0.326,0.15560000000000002,Gowth rates,2.095115681233933
Revenue Growth (MRQ),0.027999999999999997,0.16460000000000002,Gowth rates,0.17010935601458077
Revenue Growth (TTM),0.2045,0.2273,Gowth rates,0.8996920369555653
Return On Equity (TTM),0.4139,0.5459,Effectiveness,0.7581974720644806
Return On Assets (TTM),0.16010000000000002,0.1131,Effectiveness,1.4155614500442089
Return On Investment (TTM),0.2395,0.189,Effectiveness,1.2671957671957672
Revenue Per Employee (TTM),770835.0,686063.0,Effectiveness,1.123562996401205
Total Debt/Total Capital (MRQ),0.4593,0.5613,Financial strength,0.818278995189738
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0048,Financial strength,0.35416666666666674
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),14.36,27.21,Financial strength,0.5277471517824329
