,SQSP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),3.34,19.35,Valuation,0.17260981912144702
Price/Book (MRQ),,19.03,Valuation,
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.8269,0.44520000000000004,Profitability,1.8573674752920033
Operating Profit Margin (TTM),-0.0167,0.3027,Profitability,-0.05517013544763792
Net Profit Margin (TTM),-0.0409,0.23600000000000002,Profitability,-0.1733050847457627
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.8406,-3.5569,Gowth rates,0.23632938795018132
EPS Growth (TTM),,0.15560000000000002,Gowth rates,
Revenue Growth (MRQ),0.0235,0.16460000000000002,Gowth rates,0.1427703523693803
Revenue Growth (TTM),,0.2273,Gowth rates,
Return On Equity (TTM),,0.5459,Effectiveness,
Return On Assets (TTM),-0.037000000000000005,0.1131,Effectiveness,-0.32714412024756856
Return On Investment (TTM),-0.0646,0.18910000000000002,Effectiveness,-0.3416181914331042
Revenue Per Employee (TTM),528488.0,686074.0,Effectiveness,0.7703075761506776
Total Debt/Total Capital (MRQ),1.1365,0.5613,Financial strength,2.0247639408515945
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0048,Financial strength,-0.16666666666666669
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),2.58,27.21,Financial strength,0.09481808158765159
