,SQSP
% Above Low,0.39880000000000004
% Held by Institutions,0.7598
52-Wk Range,['14.43 - 36.99']
Annual Dividend $,
Annual Dividend %,
Ask,20.21
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,20.17
Bid Size,100.0
Day Change $,-0.425
Day Change %,-0.0206
Day High,20.71
Day Low,20.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.26
Ex-dividend Date,No dividend
Historical Volatility,0.828
Last (size),100.0
Last (time),3:09p ET 11/28/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,20.61
Price,20.19
Short Interest,0.0332
Today's Open,20.58
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.06666666666666665
Growth 2yr High Est,7.888888888888889
Growth 2yr Consensus Est,3.977777777777778
Growth 5yr Low Est,0.06666666666666665
Growth 5yr High Est,7.888888888888889
Growth 5yr Consensus Est,3.977777777777778
Growth 5yr Actual/Est,-3.827777777777778
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.33506
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,14.43
5yr High,64.71
5yr Avg Return,-0.35495000000000004
Short Int Current Month,1989106.0
Short Int Prev Month,1992523.0
Short Int Pct of Float,0.0331859
Days to Cover,2.75247
Float,82.73243
Shares Outstanding,136.8296
Institutions Holding Shares,167.0
FCF Growth 5yr,0.2194314587109465
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8269
Operating Profit Margin (TTM),-0.0167
Net Profit Margin (TTM),-0.0409
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8406
EPS Growth (TTM),
Revenue Growth (MRQ),0.0235
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),-0.037000000000000005
Return On Investment (TTM),-0.0646
Revenue Per Employee (TTM),528488.0
Total Debt/Total Capital (MRQ),1.1365
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.58
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
