,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,64.71,34.97,,,,,
low,26.85,14.43,,,,,
change,-0.3854,-0.3245,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,203.0,230.0,215.0,200.0,Balance Sheet
Short Term Investments,,,31.0,28.0,32.0,28.0,Balance Sheet
Cash and Short Term Invs,,,235.0,258.0,247.0,228.0,Balance Sheet
"Trade Accts Recvble, Net",,,8.0,8.0,9.0,10.0,Balance Sheet
Other Receivables,,,2.0,3.0,3.0,3.0,Balance Sheet
"Total Receivables, Net",,,10.0,11.0,12.0,13.0,Balance Sheet
Prepaid Expenses,,,61.0,22.0,48.0,45.0,Balance Sheet
Restricted Cash - Current,,,30.0,40.0,40.0,41.0,Balance Sheet
Other Current Assets,,,7.0,6.0,2.0,1.0,Balance Sheet
"Other Curr. Assets, Total",,,37.0,46.0,42.0,42.0,Balance Sheet
Total Current Assets,,,342.0,337.0,349.0,329.0,Balance Sheet
Prop./Plant/Equip. - Net,,,53.0,152.0,149.0,141.0,Balance Sheet
"Goodwill, Net",,,436.0,436.0,436.0,436.0,Balance Sheet
Intangibles - Gross,,,91.0,,,,Balance Sheet
Accum. Intangible Amort.,,,-31.0,,,,Balance Sheet
Intangibles - Net,,,60.0,55.0,51.0,47.0,Balance Sheet
Other Long Term Assets,,,9.0,10.0,10.0,10.0,Balance Sheet
Total Assets,,,900.0,990.0,994.0,963.0,Balance Sheet
Accounts Payable,,,27.0,20.0,23.0,11.0,Balance Sheet
Accrued Expenses,,,61.0,117.0,76.0,80.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,14.0,20.0,26.0,33.0,Balance Sheet
Customer Advances,,,234.0,254.0,258.0,261.0,Balance Sheet
Other Payables,,,30.0,41.0,40.0,43.0,Balance Sheet
Other Current Liabilities,,,2.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,266.0,295.0,298.0,304.0,Balance Sheet
Total Current Liabilities,,,367.0,452.0,424.0,427.0,Balance Sheet
Total Long Term Debt,,,513.0,504.0,494.0,484.0,Balance Sheet
Total Debt,,,527.0,523.0,520.0,517.0,Balance Sheet
"Other Liabilities, Total",,,33.0,124.0,119.0,113.0,Balance Sheet
Total Liabilities,,,913.0,1080.0,1036.0,1025.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,912.0,929.0,914.0,887.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-925.0,-1018.0,-953.0,-943.0,Balance Sheet
Unrealized Gain (Loss),,,,0.0,0.0,0.0,Balance Sheet
Cum. Trans. Adjustment,,,,-1.0,-3.0,-5.0,Balance Sheet
Other Comprehensive Income,,,0.0,,,,Balance Sheet
"Other Equity, Total",,,0.0,-1.0,-3.0,-5.0,Balance Sheet
Total Equity,,,-13.0,-90.0,-42.0,-62.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,900.0,990.0,994.0,963.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,91.0,92.0,91.0,89.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,48.0,48.0,48.0,48.0,Balance Sheet
Ttl Comm. Shares Outs.,,,139.0,140.0,139.0,137.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,207420.0,207762.0,212702.0,217696.0,Income Statement
"Cost of Revenue, Total",,,33854.0,36649.0,36993.0,38907.0,Income Statement
Selling/Gen/Admin Expense,,,103573.0,135582.0,93427.0,97429.0,Income Statement
Labor & Related Expense,,,14165.0,13305.0,14506.0,13632.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,117738.0,148887.0,107933.0,111061.0,Income Statement
Research & Development,,,50679.0,57328.0,58829.0,54312.0,Income Statement
Depreciation/Amortization,,,4830.0,,,,Income Statement
