,CCS
% Above Low,0.2254
% Held by Institutions,0.8941
52-Wk Range,['39.00 - 86.07']
Annual Dividend $,0.8
Annual Dividend %,0.0167
Ask,48.25
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,47.79
Day Change $,-0.2
Day Change %,-0.0042
Day High,48.15
Day Low,47.67
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",18.19
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.535
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",2.63
Prev Close,47.99
Short Interest,0.071
Today's Open,47.67
Volume,79165.0
Volume 10-day Avg,206485.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.15537555228276867
Growth 1yr High Est,0.10478834142956273
Growth 1yr Consensus Est,0.1300819468561657
Growth 2yr Low Est,-0.22823956611482982
Growth 2yr High Est,-0.05721638204903773
Growth 2yr Consensus Est,-0.14272797408193377
Growth 5yr Low Est,-0.22823956611482982
Growth 5yr High Est,-0.05721638204903773
Growth 5yr Consensus Est,-0.14272797408193377
Growth 5yr Actual/Est,0.3764191726534198
Growth 3yr Historic,0.46852556743802
Price/Earnings (TTM),2.62754
Price/Sales (TTM),0.33492
Price/Book (MRQ),0.73282
Price/Cash Flow (TTM),2.44352
5yr Low,9.04
5yr High,86.07
5yr Avg Return,0.2013166666666667
EPS Growth 5yr,0.4406465
Revenue Growth 5yr,0.33496810000000005
Dividend Growth 5yr,
Short Int Current Month,1973130.0
Short Int Prev Month,1762157.0
Short Int Pct of Float,0.0709708
Days to Cover,8.04646
Float,27.80554
Shares Outstanding,31.77234
Institutions Holding Shares,292.0
FCF Growth 5yr,-1.2753922306736765
"Price/Earnings (TTM, GAAP)",2.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2847
Operating Profit Margin (TTM),0.19
Net Profit Margin (TTM),0.13470000000000001
Annual Dividend Yield,0.0167
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.07110000000000001
EPS Growth (TTM),0.45530000000000004
Revenue Growth (MRQ),-0.0187
Revenue Growth (TTM),0.1342
Return On Equity (TTM),0.3325
Return On Assets (TTM),0.1722
Return On Investment (TTM),0.2078
Revenue Per Employee (TTM),2833491.0
Total Debt/Total Capital (MRQ),0.3992
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),319.41
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-10-14 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-08-03 00:00:00
theStreet since,
