,CCS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.63,7.14,Valuation,0.36834733893557425
Price/Sales (TTM),0.33,7.33,Valuation,0.045020463847203276
Price/Book (MRQ),0.73,2.07,Valuation,0.3526570048309179
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.2847,0.3091,Profitability,0.9210611452604336
Operating Profit Margin (TTM),0.19,0.1507,Profitability,1.26078301260783
Net Profit Margin (TTM),0.13470000000000001,0.11320000000000001,Profitability,1.1899293286219081
Annual Dividend Yield,0.0167,0.016399999999999998,Dividend,1.0182926829268293
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),-0.07110000000000001,-0.0688,Gowth rates,1.0334302325581397
EPS Growth (TTM),0.45530000000000004,0.16670000000000001,Gowth rates,2.73125374925015
Revenue Growth (MRQ),-0.0187,0.1173,Gowth rates,-0.15942028985507248
Revenue Growth (TTM),0.1342,0.149,Gowth rates,0.9006711409395974
Return On Equity (TTM),0.3325,0.38439999999999996,Effectiveness,0.8649843912591052
Return On Assets (TTM),0.1722,0.135,Effectiveness,1.2755555555555553
Return On Investment (TTM),0.2078,0.1699,Effectiveness,1.2230723955267806
Revenue Per Employee (TTM),2833491.0,1633986.0,Effectiveness,1.734097476967367
Total Debt/Total Capital (MRQ),0.3992,0.29309999999999997,Financial strength,1.3619924940293417
Change in Debt/Total Capital Quarter over Quarter,-0.0006,-0.0005,Financial strength,1.2
Quick Ratio (MRQ),,0.53,Financial strength,
Interest Coverage (MRQ),319.41,51.09,Financial strength,6.251908396946565
