,CCS
Price/Earnings (TTM),2.62754
Price/Sales (TTM),0.33492
Price/Book (MRQ),0.73282
Price/Cash Flow (TTM),2.44352
5yr Low,9.04
5yr High,86.07
5yr Avg Return,0.2013166666666667
EPS Growth 5yr,0.4406465
Revenue Growth 5yr,0.33496810000000005
Dividend Growth 5yr,
Short Int Current Month,1973130.0
Short Int Prev Month,1762157.0
Short Int Pct of Float,0.0709708
Days to Cover,8.04646
Float,27.80554
Shares Outstanding,31.77234
Institutions Holding Shares,292.0
% Held by Institutions,0.894079
FCF Growth 5yr,-1.2753922306736765
