,RHI
% Above Low,0.1711
% Held by Institutions,1.0075
52-Wk Range,['65.40 - 125.77']
Annual Dividend $,1.72
Annual Dividend %,0.022099999999999998
Ask,76.62
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,76.56
Bid Size,100.0
Day Change $,-1.22
Day Change %,-0.015700000000000002
Day High,77.29
Day Low,76.0
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.17
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.36200000000000004
Last (size),100.0
Last (time),12:46p ET 11/28/22
Market Cap,8.3B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",12.62
Prev Close,77.81
Price,76.59
Short Interest,0.0801
Today's Open,77.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.14615384615384608
Growth 1yr High Est,0.12873134328358193
Growth 1yr Consensus Est,0.137442594718714
Growth 2yr Low Est,-0.09890294269488903
Growth 2yr High Est,0.11808467990625382
Growth 2yr Consensus Est,0.009590868605682396
Growth 5yr Low Est,0.03821086631489315
Growth 5yr High Est,0.1390916010368708
Growth 5yr Consensus Est,0.08865123367588197
Growth 5yr Actual/Est,0.17191759880496427
Growth 3yr Historic,0.1693732193732194
Price/Earnings (TTM),12.61689
Price/Sales (TTM),1.15949
Price/Book (MRQ),5.66245
Price/Cash Flow (TTM),11.62175
5yr Low,32.38
5yr High,125.77
5yr Avg Return,0.09685
EPS Growth 5yr,0.1497659
Revenue Growth 5yr,0.042383300000000006
Dividend Growth 5yr,0.1155067
Short Int Current Month,8451303.0
Short Int Prev Month,7224853.0
Short Int Pct of Float,0.0800915
Days to Cover,7.32913
Float,105.4934
Shares Outstanding,108.4985
Institutions Holding Shares,847.0
FCF Growth 5yr,1.21927611098612
"Price/Earnings (TTM, GAAP)",12.62
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.42840000000000006
Operating Profit Margin (TTM),0.12539999999999998
Net Profit Margin (TTM),0.0931
Annual Dividend Yield,0.0221
Dividend Change %,0.1176
"Dividend Growth Rate, 3 Years",0.1072
EPS Growth (MRQ),-0.0453
EPS Growth (TTM),0.31629999999999997
Revenue Growth (MRQ),-0.0158
Revenue Growth (TTM),0.2144
Return On Equity (TTM),0.4832
Return On Assets (TTM),0.2322
Return On Investment (TTM),0.4153
Revenue Per Employee (TTM),498701.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),18.37
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-06-03 00:00:00
theStreet since,2020-06-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-04-22 00:00:00
ford since,2022-06-03 00:00:00
marketEdge opinion since,
