,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,17.78,37.85,37.99,,,,,
low,12.91,15.97,20.05,,,,,
change,0.1342,0.7153,-0.3153,,,,,
Date,,,,2021-12-04 00:00:00,2022-02-26 00:00:00,2022-06-18 00:00:00,2022-09-10 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,2661.0,2902.0,3213.0,3392.0,Balance Sheet
"Total Receivables, Net",,,,607.0,561.0,565.0,652.0,Balance Sheet
Total Inventory,,,,4671.0,4501.0,4573.0,4746.0,Balance Sheet
Prepaid Expenses,,,,,302.0,,,Balance Sheet
Restricted Cash - Current,,,,51.0,51.0,51.0,8.0,Balance Sheet
Other Current Assets,,,,390.0,51.0,276.0,466.0,Balance Sheet
"Other Curr. Assets, Total",,,,440.0,101.0,327.0,474.0,Balance Sheet
Total Current Assets,,,,8380.0,8366.0,8678.0,9265.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,15172.0,15258.0,14978.0,14948.0,Balance Sheet
"Goodwill, Net",,,,1201.0,1201.0,1201.0,1201.0,Balance Sheet
Intangibles - Net,,,,2240.0,2285.0,2310.0,2364.0,Balance Sheet
Other Long Term Assets,,,,944.0,1013.0,1053.0,978.0,Balance Sheet
Total Assets,,,,27936.0,28123.0,28220.0,28754.0,Balance Sheet
Accounts Payable,,,,4066.0,4237.0,3970.0,4018.0,Balance Sheet
Accrued Expenses,,,,2111.0,2540.0,1997.0,2159.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,82.0,829.0,825.0,826.0,Balance Sheet
"Other Curr. Lblts, Total",,,,1202.0,743.0,1120.0,1242.0,Balance Sheet
Total Current Liabilities,,,,7461.0,8349.0,7912.0,8245.0,Balance Sheet
Long Term Debt,,,,7301.0,6635.0,7121.0,7107.0,Balance Sheet
Capital Lease Obligations,,,,615.0,501.0,,,Balance Sheet
Total Long Term Debt,,,,7916.0,7136.0,7121.0,7107.0,Balance Sheet
Total Debt,,,,7998.0,7965.0,7947.0,7933.0,Balance Sheet
Deferred Income Tax,,,,685.0,800.0,807.0,858.0,Balance Sheet
Pension Benefits - Underfunded,,,,,838.0,,,Balance Sheet
Other LT Liabilities,,,,7965.0,6698.0,7674.0,7545.0,Balance Sheet
"Other Liabilities, Total",,,,7965.0,7535.0,7674.0,7545.0,Balance Sheet
Total Liabilities,,,,24026.0,23820.0,23514.0,23755.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,1599.0,1279.0,635.0,612.0,Balance Sheet
Common Stock,,,,6.0,6.0,6.0,6.0,Balance Sheet
Additional Paid-In Capital,,,,1946.0,2032.0,1998.0,2023.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,2187.0,2565.0,2972.0,3240.0,Balance Sheet
Treasury Stock - Common,,,,-1907.0,-1647.0,-972.0,-947.0,Balance Sheet
