,ACI
% Above Low,0.0309
% Held by Institutions,0.6751999999999999
52-Wk Range,['20.05 - 37.99']
Annual Dividend $,0.48
Annual Dividend %,0.0232
Ask,20.75
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,
Bid,20.6
Bid Size,200.0
Closing Price,20.67
Day Change $,0.23
Day Change %,0.0113
Day High,20.69
Day Low,20.5
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",2.83
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.508
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,11.1B
"P/E Ratio (TTM, GAAP)",7.32
Prev Close,20.44
Short Interest,0.0215
Today's Open,20.51
Volume,906084.0
Volume 10-day Avg,3162988.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-10 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.028673835125448077
Growth 1yr High Est,0.06666666666666665
Growth 1yr Consensus Est,0.018996415770609287
Growth 2yr Low Est,-0.11027787697231811
Growth 2yr High Est,0.03802083333333328
Growth 2yr Consensus Est,-0.036128521819492415
Growth 5yr Low Est,-0.11027787697231811
Growth 5yr High Est,0.03802083333333328
Growth 5yr Consensus Est,-0.036128521819492415
Growth 5yr Actual/Est,-0.03731236846691063
Growth 3yr Historic,-0.01748971193415642
Price/Earnings (TTM),7.31653
Price/Sales (TTM),0.1468
Price/Book (MRQ),2.51255
Price/Cash Flow (TTM),3.41669
5yr Low,12.91
5yr High,37.99
5yr Avg Return,0.17806666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.037927300000000004
Dividend Growth 5yr,
Short Int Current Month,6733781.0
Short Int Prev Month,6547946.0
Short Int Pct of Float,0.021455099999999998
Days to Cover,1.54366
Float,313.6733
Shares Outstanding,535.0663
Institutions Holding Shares,399.0
FCF Growth 5yr,-0.0072832985440269464
"Price/Earnings (TTM, GAAP)",7.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2836
Operating Profit Margin (TTM),0.0339
Net Profit Margin (TTM),0.0227
Annual Dividend Yield,0.0232
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),1.7806
Revenue Growth (MRQ),
Revenue Growth (TTM),0.0926
Return On Equity (TTM),0.4661
Return On Assets (TTM),0.0608
Return On Investment (TTM),0.0837
Revenue Per Employee (TTM),259799.0
Total Debt/Total Capital (MRQ),0.6134000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),0.55
Interest Coverage (MRQ),5.94
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-10-14 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-11-15 00:00:00
marketEdge opinion since,
