,PZZA
% Above Low,0.23420000000000002
% Held by Institutions,1.0607
52-Wk Range,['66.74 - 138.53']
Annual Dividend $,1.68
Annual Dividend %,0.0202
Ask,82.37
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.1
Bid,82.15
Bid Size,300.0
Day Change $,-0.95
Day Change %,-0.011399999999999999
Day High,83.8
Day Low,82.03
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",1.89
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.387
Last (size),152.0
Last (time),12:00p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.11
Prev Close,83.32
Price,82.37
Short Interest,0.0707
Today's Open,83.03
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.13750000000000007
Growth 1yr High Est,-0.1445086705202312
Growth 1yr Consensus Est,-0.14100433526011563
Growth 2yr Low Est,-0.01621376811594205
Growth 2yr High Est,0.0561240431182628
Growth 2yr Consensus Est,0.019955137501160375
Growth 5yr Low Est,0.40030741157006505
Growth 5yr High Est,0.4291705732435542
Growth 5yr Consensus Est,0.41473899240680967
Growth 5yr Actual/Est,0.42156385681472186
Growth 3yr Historic,0.4259310134310134
"Price/Earnings (TTM, GAAP)",44.11
Price/Sales (TTM),1.4
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",12.98
Gross Profit Margin (TTM),0.30160000000000003
Operating Profit Margin (TTM),0.0527
Net Profit Margin (TTM),0.0338
Annual Dividend Yield,0.0202
Dividend Change %,0.2778
"Dividend Growth Rate, 3 Years",0.0851
EPS Growth (MRQ),-0.6734
EPS Growth (TTM),6.919700000000001
Revenue Growth (MRQ),-0.0233
Revenue Growth (TTM),0.0475
Return On Equity (TTM),
Return On Assets (TTM),0.0828
Return On Investment (TTM),0.12960000000000002
Revenue Per Employee (TTM),150340.0
Total Debt/Total Capital (MRQ),1.8175000000000001
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),4.41
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2021-08-12 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-06-27 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
