,PZZA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",44.11,114.03,Valuation,0.3868280277120056
Price/Sales (TTM),1.4,5.62,Valuation,0.24911032028469748
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",12.98,0.53,Valuation,24.49056603773585
Gross Profit Margin (TTM),0.30160000000000003,0.4054,Profitability,0.7439565860878147
Operating Profit Margin (TTM),0.0527,0.163,Profitability,0.3233128834355828
Net Profit Margin (TTM),0.0338,0.0779,Profitability,0.43388960205391525
Annual Dividend Yield,0.0202,0.011200000000000002,Dividend,1.8035714285714282
Dividend Change %,0.2778,0.056100000000000004,Dividend,4.95187165775401
"Dividend Growth Rate, 3 Years",0.0851,0.031000000000000003,Dividend,2.74516129032258
EPS Growth (MRQ),-0.6734,0.3309,Gowth rates,-2.035055908129344
EPS Growth (TTM),6.919700000000001,2.1359,Gowth rates,3.239711596984878
Revenue Growth (MRQ),-0.0233,0.38439999999999996,Gowth rates,-0.060613943808532786
Revenue Growth (TTM),0.0475,0.7695000000000001,Gowth rates,0.06172839506172839
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),0.0828,0.0758,Effectiveness,1.092348284960422
Return On Investment (TTM),0.12960000000000002,0.1005,Effectiveness,1.2895522388059704
Revenue Per Employee (TTM),150340.0,285753.0,Effectiveness,0.5261187109146711
Total Debt/Total Capital (MRQ),1.8175000000000001,1.1596,Financial strength,1.5673508106243534
Change in Debt/Total Capital Quarter over Quarter,0.004,0.002,Financial strength,2.0
Quick Ratio (MRQ),0.75,0.81,Financial strength,0.9259259259259258
Interest Coverage (MRQ),4.41,40.22,Financial strength,0.10964694181999006
