,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,99.5,117.0,37.25,,,,,
low,25.5,32.7,17.73,,,,,
change,2.0454,-0.5624,-0.4964,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,120.0,117.0,127.0,103.0,Balance Sheet
Short Term Investments,,,,456.0,408.0,382.0,371.0,Balance Sheet
Cash and Short Term Invs,,,,576.0,526.0,510.0,474.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,32.0,29.0,19.0,24.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,40.0,44.0,31.0,35.0,Balance Sheet
Other Receivables,,,,1.0,2.0,1.0,1.0,Balance Sheet
"Total Receivables, Net",,,,41.0,46.0,32.0,36.0,Balance Sheet
Prepaid Expenses,,,,5.0,12.0,12.0,9.0,Balance Sheet
"Other Curr. Assets, Total",,,,3.0,4.0,4.0,6.0,Balance Sheet
Total Current Assets,,,,625.0,586.0,557.0,524.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,85.0,89.0,102.0,102.0,Balance Sheet
"Goodwill, Net",,,,,5.0,5.0,5.0,Balance Sheet
Intangibles - Net,,,,,1.0,1.0,1.0,Balance Sheet
Long Term Investments,,,,43.0,37.0,22.0,27.0,Balance Sheet
Other Long Term Assets,,,,3.0,1.0,2.0,3.0,Balance Sheet
Total Assets,,,,756.0,720.0,688.0,662.0,Balance Sheet
Accounts Payable,,,,8.0,10.0,5.0,11.0,Balance Sheet
Accrued Expenses,,,,28.0,22.0,33.0,34.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,55.0,54.0,47.0,44.0,Balance Sheet
Total Current Liabilities,,,,91.0,86.0,86.0,89.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,108.0,103.0,109.0,110.0,Balance Sheet
Total Liabilities,,,,199.0,189.0,195.0,199.0,Balance Sheet
Common Stock,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,787.0,797.0,808.0,818.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-230.0,-264.0,-312.0,-352.0,Balance Sheet
"Other Equity, Total",,,,-1.0,-3.0,-3.0,-4.0,Balance Sheet
Total Equity,,,,557.0,531.0,493.0,463.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,756.0,720.0,688.0,662.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,62.0,62.0,62.0,62.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,9.0,9.0,9.0,9.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,71.0,71.0,71.0,71.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,46170.0,48663.0,38469.0,36980.0,Income Statement
"Cost of Revenue, Total",,,,19809.0,20680.0,21335.0,19779.0,Income Statement
Selling/Gen/Admin Expense,,,,19449.0,23540.0,23562.0,25001.0,Income Statement
Labor & Related Expense,,,,4282.0,5264.0,5922.0,5478.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,23731.0,28804.0,29484.0,30479.0,Income Statement
Research & Development,,,,25145.0,27822.0,31123.0,32885.0,Income Statement
Total Operating Expense,,,,68685.0,77306.0,81942.0,83143.0,Income Statement
Total Operating Income,,,,-22515.0,-28643.0,-43473.0,-46163.0,Income Statement
"Inter Income, Non-Operating",,,,,328.0,,1231.0,Income Statement
"Invest Income, Non-Operat",,,,-7920.0,-6164.0,-3872.0,5270.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,-6.0,,-296.0,,Income Statement
Income Before Tax,,,,-30441.0,-34479.0,-47641.0,-39662.0,Income Statement
Income Tax - Total,,,,274.0,-28.0,33.0,194.0,Income Statement
Income After Tax,,,,-30715.0,-34451.0,-47674.0,-39856.0,Income Statement
Minority Interest,,,,2.0,11.0,-12.0,3.0,Income Statement
Net Inc Before Extra Items,,,,-30713.0,-34440.0,-47686.0,-39853.0,Income Statement
Total Net Income,,,,-30713.0,-34440.0,-47686.0,-39853.0,Income Statement
