,SDGR
% Above Low,0.0202
% Held by Institutions,0.7706999999999999
52-Wk Range,['17.31 - 41.89']
Annual Dividend $,
Annual Dividend %,
Ask,17.68
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,17.63
Bid Size,200.0
Day Change $,-0.57
Day Change %,-0.0313
Day High,18.38
Day Low,17.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.15
Ex-dividend Date,No dividend
Historical Volatility,0.667
Last (size),100.0
Last (time),1:52p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.23
Price,17.66
Short Interest,0.061900000000000004
Today's Open,18.1
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.4936708860759491
Growth 1yr High Est,0.5952380952380951
Growth 1yr Consensus Est,0.5444544906570221
Growth 2yr Low Est,0.3125134091396695
Growth 2yr High Est,-0.11282871357498225
Growth 2yr Consensus Est,0.09984234778234363
Growth 5yr Low Est,0.3125134091396695
Growth 5yr High Est,-0.11282871357498225
Growth 5yr Consensus Est,0.09984234778234363
Growth 5yr Actual/Est,0.4625970993498977
Growth 3yr Historic,0.39091478323096185
Price/Earnings (TTM),
Price/Sales (TTM),7.62652
Price/Book (MRQ),2.804
Price/Cash Flow (TTM),
5yr Low,17.73
5yr High,117.0
5yr Avg Return,0.32886666666666664
Short Int Current Month,3587419.0
Short Int Prev Month,4108306.0
Short Int Pct of Float,0.0619456
Days to Cover,4.81988
Float,58.09103
Shares Outstanding,71.23746
Institutions Holding Shares,278.0
FCF Growth 5yr,0.22177761993185782
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5208
Operating Profit Margin (TTM),-0.8268000000000001
Net Profit Margin (TTM),-0.8967
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1648
EPS Growth (TTM),-0.8745
Revenue Growth (MRQ),-0.038700000000000005
Revenue Growth (TTM),0.36450000000000005
Return On Equity (TTM),-0.2928
Return On Assets (TTM),-0.2144
Return On Investment (TTM),-0.24180000000000001
Revenue Per Employee (TTM),256449.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-06-07 00:00:00
theStreet since,2021-08-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
