,HYLN
% Above Low,0.3691
% Held by Institutions,0.31739999999999996
52-Wk Range,['2.33 - 6.82']
Annual Dividend $,
Annual Dividend %,
Ask,3.19
Ask Size,2400.0
B/A Ratio,0.08333333333333333
B/A Size,200x2400
Beta,1.2
Bid,3.01
Bid Size,200.0
Closing Price,3.19
Day Change $,0.2
Day Change %,0.0669
Day High,3.23
Day Low,3.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.88
Ex-dividend Date,No dividend
Historical Volatility,0.7140000000000001
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,573.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.99
Short Interest,0.10800000000000001
Today's Open,3.01
Volume,725651.0
Volume 10-day Avg,1141964.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.23655913978494603
Growth 2yr High Est,0.012195121951219523
Growth 2yr Consensus Est,0.12437713086808277
Growth 5yr Low Est,0.23655913978494603
Growth 5yr High Est,0.012195121951219523
Growth 5yr Consensus Est,0.12437713086808277
Growth 5yr Actual/Est,0.552068302068302
Growth 3yr Historic,0.3214285714285714
Price/Earnings (TTM),
Price/Sales (TTM),473.4005
Price/Book (MRQ),1.27
Price/Cash Flow (TTM),
5yr Low,2.33
5yr High,58.66
5yr Avg Return,-0.11070000000000003
Short Int Current Month,13170660.0
Short Int Prev Month,13889849.0
Short Int Pct of Float,0.107987
Days to Cover,12.0905
Float,121.9652
Shares Outstanding,179.7141
Institutions Holding Shares,173.0
FCF Growth 5yr,0.26376352306997247
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-2.5483000000000002
Operating Profit Margin (TTM),-129.4732
Net Profit Margin (TTM),-126.8348
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8887
EPS Growth (TTM),-1.3417
Revenue Growth (MRQ),1.9012
Revenue Growth (TTM),
Return On Equity (TTM),-0.2972
Return On Assets (TTM),-0.2833
Return On Investment (TTM),-0.2922
Revenue Per Employee (TTM),6055.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),23.48
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
