,HYLN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,24.01,Valuation,
Price/Sales (TTM),473.4,3.06,Valuation,154.70588235294116
Price/Book (MRQ),1.27,7.44,Valuation,0.17069892473118278
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),-2.5483000000000002,0.32799999999999996,Profitability,-7.769207317073173
Operating Profit Margin (TTM),-129.4732,0.0198,Profitability,-6539.050505050504
Net Profit Margin (TTM),-126.8348,-0.0086,Profitability,14748.232558139534
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),-0.8887,0.3518,Gowth rates,-2.5261512222853897
EPS Growth (TTM),-1.3417,0.16149999999999998,Gowth rates,-8.307739938080497
Revenue Growth (MRQ),1.9012,0.196,Gowth rates,9.7
Revenue Growth (TTM),,0.1475,Gowth rates,
Return On Equity (TTM),-0.2972,0.2859,Effectiveness,-1.0395243091990207
Return On Assets (TTM),-0.2833,0.0851,Effectiveness,-3.329024676850764
Return On Investment (TTM),-0.2922,0.12490000000000001,Effectiveness,-2.3394715772618095
Revenue Per Employee (TTM),6055.0,343373.0,Effectiveness,0.01763388501716792
Total Debt/Total Capital (MRQ),0.0,0.6352000000000001,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0189,Financial strength,
Quick Ratio (MRQ),23.48,1.07,Financial strength,21.94392523364486
Interest Coverage (MRQ),,20.9,Financial strength,
