,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.0,58.66,22.25,6.54,,,,,
low,9.61,9.5,5.57,2.33,,,,,
change,0.029900000000000003,0.6496,-0.6231,-0.49920000000000003,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,258.0,227.0,200.0,154.0,Balance Sheet
Short Term Investments,,,,,119.0,134.0,189.0,233.0,Balance Sheet
Cash and Short Term Invs,,,,,377.0,361.0,389.0,387.0,Balance Sheet
"Total Receivables, Net",,,,,0.0,1.0,0.0,1.0,Balance Sheet
Invent. - Finished Goods,,,,,,0.0,0.0,0.0,Balance Sheet
Invent. - Work In Progress,,,,,,0.0,0.0,0.0,Balance Sheet
Total Inventory,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Prepaid Expenses,,,,,9.0,9.0,8.0,6.0,Balance Sheet
Total Current Assets,,,,,386.0,371.0,397.0,394.0,Balance Sheet
Buildings,,,,,,,,1.0,Balance Sheet
Machinery/Equipment,,,,,,,,7.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,,8.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,,16.0,Balance Sheet
Accumulated Depreciation,,,,,,,,-3.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,10.0,10.0,9.0,13.0,Balance Sheet
Intangibles - Net,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Long Term Investments,,,,,180.0,166.0,111.0,68.0,Balance Sheet
Other Long Term Assets,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,,,578.0,549.0,520.0,477.0,Balance Sheet
Accounts Payable,,,,,7.0,3.0,3.0,2.0,Balance Sheet
Accrued Expenses,,,,,8.0,8.0,11.0,14.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,,15.0,11.0,14.0,17.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,9.0,9.0,9.0,9.0,Balance Sheet
Total Liabilities,,,,,25.0,21.0,23.0,26.0,Balance Sheet
