,LEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.69,7.14,Valuation,0.7969187675070029
Price/Sales (TTM),0.77,7.33,Valuation,0.10504774897680765
Price/Book (MRQ),1.09,2.07,Valuation,0.5265700483091789
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.23320000000000002,0.3091,Profitability,0.7544483985765126
Operating Profit Margin (TTM),0.18280000000000002,0.1507,Profitability,1.21300597213006
Net Profit Margin (TTM),0.1409,0.11320000000000001,Profitability,1.2446996466431095
Annual Dividend Yield,0.0174,0.016399999999999998,Dividend,1.0609756097560976
Dividend Change %,1.4096000000000002,0.2639,Dividend,5.341417203486169
"Dividend Growth Rate, 3 Years",0.8420000000000001,0.1757,Dividend,4.792259533295391
EPS Growth (MRQ),0.1167,-0.0688,Gowth rates,-1.6962209302325582
EPS Growth (TTM),0.1476,0.16670000000000001,Gowth rates,0.8854229154169166
Revenue Growth (MRQ),0.0689,0.1173,Gowth rates,0.587382779198636
Revenue Growth (TTM),0.251,0.149,Gowth rates,1.6845637583892619
Return On Equity (TTM),0.2031,0.38439999999999996,Effectiveness,0.5283558792924038
Return On Assets (TTM),0.13210000000000002,0.135,Effectiveness,0.9785185185185187
Return On Investment (TTM),0.1449,0.1699,Effectiveness,0.8528546203649205
Revenue Per Employee (TTM),2969423.0,1633986.0,Effectiveness,1.817287908219532
Total Debt/Total Capital (MRQ),0.19390000000000002,0.29309999999999997,Financial strength,0.6615489593995225
Change in Debt/Total Capital Quarter over Quarter,-0.0023,-0.0005,Financial strength,4.6
Quick Ratio (MRQ),,0.53,Financial strength,
Interest Coverage (MRQ),11.69,51.09,Financial strength,0.22881190056762574
