,LEN
% Above Low,0.3812
% Held by Institutions,0.9601000000000001
52-Wk Range,['62.54 - 117.54']
Annual Dividend $,1.5
Annual Dividend %,0.0174
Ask,86.41
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,85.42
Bid Size,100.0
Change Since Close,-0.39| |(-0.45%)
Closing Price,86.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-27 00:00:00
"EPS (TTM, GAAP)",15.18
Ex-dividend,2022-10-12 00:00:00
Ex-dividend Date,10/12/22
Historical Volatility,0.441
Last (size),69.0
Last (time),5:00p ET 11/25/22
Last Trade,85.99
Market Cap,25.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.69
Prev Close,86.38
Short Interest,0.0379
Today's Open,
Volume,69.0
Volume 10-day Avg,2011817.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.27485852869846417
Growth 1yr High Est,0.21117166212534078
Growth 1yr Consensus Est,0.24301509541190247
Growth 2yr Low Est,-0.07341410914474383
Growth 2yr High Est,0.0355633338748188
Growth 2yr Consensus Est,-0.018925387634962515
Growth 5yr Low Est,0.29678351146536397
Growth 5yr High Est,0.4254877601273735
Growth 5yr Consensus Est,0.36113563579636876
Growth 5yr Actual/Est,0.2632682706034536
Growth 3yr Historic,0.2963575534299474
Price/Earnings (TTM),5.69222
Price/Sales (TTM),0.77045
Price/Book (MRQ),1.0946
Price/Cash Flow (TTM),5.37572
5yr Low,25.42
5yr High,117.54
5yr Avg Return,0.11795000000000001
EPS Growth 5yr,0.29407520000000004
Revenue Growth 5yr,0.1989727
Dividend Growth 5yr,0.4426999
Short Int Current Month,9439823.0
Short Int Prev Month,10000878.0
Short Int Pct of Float,0.0379294
Days to Cover,3.50343
Float,263.8629
Shares Outstanding,291.1666
Institutions Holding Shares,982.0
FCF Growth 5yr,2.960771625277298
"Price/Earnings (TTM, GAAP)",5.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.23320000000000002
Operating Profit Margin (TTM),0.18280000000000002
Net Profit Margin (TTM),0.1409
Annual Dividend Yield,0.0174
Dividend Change %,1.4096000000000002
"Dividend Growth Rate, 3 Years",0.8420000000000001
EPS Growth (MRQ),0.1167
EPS Growth (TTM),0.1476
Revenue Growth (MRQ),0.0689
Revenue Growth (TTM),0.251
Return On Equity (TTM),0.2031
Return On Assets (TTM),0.13210000000000002
Return On Investment (TTM),0.1449
Revenue Per Employee (TTM),2969423.0
Total Debt/Total Capital (MRQ),0.19390000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.69
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-07-22 00:00:00
theStreet since,2020-05-27 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-22 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
