,LDOS
% Below High,0.020099999999999996
% Held by Institutions,0.7707999999999999
52-Wk Range,['81.07 - 111.12']
Annual Dividend $,1.44
Annual Dividend %,0.0132
Ask,110.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,74.0
Bid Size,100.0
Closing Price,108.89
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.88
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.256
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,14.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.31
Prev Close,108.89
Short Interest,0.005699999999999999
Today's Open,
Volume,268932.0
Volume 10-day Avg,1022214.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.03816793893129766
Growth 1yr High Est,-0.03576751117734722
Growth 1yr Consensus Est,-0.03696772505432244
Growth 2yr Low Est,0.015836665454986076
Growth 2yr High Est,0.05862319958906981
Growth 2yr Consensus Est,0.03722993252202794
Growth 5yr Low Est,0.08307765885342722
Growth 5yr High Est,0.10458630127115948
Growth 5yr Consensus Est,0.09383198006229335
Growth 5yr Actual/Est,0.08186051094299379
Growth 3yr Historic,0.06579139447465421
Price/Earnings (TTM),22.31435
Price/Sales (TTM),1.04892
Price/Book (MRQ),3.65099
Price/Cash Flow (TTM),14.6066
5yr Low,50.33
5yr High,125.84
5yr Avg Return,0.14385
EPS Growth 5yr,0.1754944
Revenue Growth 5yr,0.142949
Dividend Growth 5yr,-0.0263528
Short Int Current Month,774664.0
Short Int Prev Month,948941.0
Short Int Pct of Float,0.0057236
Days to Cover,0.76828
Float,135.4358
Shares Outstanding,136.6896
Institutions Holding Shares,759.0
FCF Growth 5yr,2.648586562664233
"Price/Earnings (TTM, GAAP)",22.31
"PEG Ratio (TTM, GAAP)",3.57
Gross Profit Margin (TTM),0.1459
Operating Profit Margin (TTM),0.077
Net Profit Margin (TTM),0.048600000000000004
Annual Dividend Yield,0.013200000000000002
Dividend Change %,0.0294
"Dividend Growth Rate, 3 Years",0.030299999999999997
EPS Growth (MRQ),-0.0526
EPS Growth (TTM),-0.0975
Revenue Growth (MRQ),0.0031
Revenue Growth (TTM),0.0513
Return On Equity (TTM),0.1663
Return On Assets (TTM),0.052199999999999996
Return On Investment (TTM),0.0733
Revenue Per Employee (TTM),330000.0
Total Debt/Total Capital (MRQ),0.5472
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),6.11
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2017-10-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-02-19 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
