,LDOS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.31,75.74,Valuation,0.29456033799841563
Price/Sales (TTM),1.05,5.07,Valuation,0.20710059171597633
Price/Book (MRQ),3.65,7.18,Valuation,0.5083565459610028
"PEG Ratio (TTM, GAAP)",3.57,3.68,Valuation,0.9701086956521738
Gross Profit Margin (TTM),0.1459,0.49210000000000004,Profitability,0.2964844543791912
Operating Profit Margin (TTM),0.077,0.10619999999999999,Profitability,0.7250470809792844
Net Profit Margin (TTM),0.048600000000000004,0.055,Profitability,0.8836363636363637
Annual Dividend Yield,0.013200000000000002,0.0074,Dividend,1.783783783783784
Dividend Change %,0.0294,0.051100000000000007,Dividend,0.5753424657534245
"Dividend Growth Rate, 3 Years",0.030299999999999997,0.0489,Dividend,0.6196319018404908
EPS Growth (MRQ),-0.0526,-18.5673,Gowth rates,0.002832937476100456
EPS Growth (TTM),-0.0975,-0.2057,Gowth rates,0.47399124939231896
Revenue Growth (MRQ),0.0031,0.10880000000000001,Gowth rates,0.028492647058823525
Revenue Growth (TTM),0.0513,0.11970000000000001,Gowth rates,0.4285714285714285
Return On Equity (TTM),0.1663,0.1999,Effectiveness,0.8319159579789895
Return On Assets (TTM),0.052199999999999996,0.0565,Effectiveness,0.9238938053097344
Return On Investment (TTM),0.0733,0.0848,Effectiveness,0.8643867924528302
Revenue Per Employee (TTM),330000.0,417216.0,Effectiveness,0.7909572020248504
Total Debt/Total Capital (MRQ),0.5472,0.4147,Financial strength,1.3195080781287678
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0070999999999999995,Financial strength,-0.014084507042253523
Quick Ratio (MRQ),0.86,0.09,Financial strength,9.555555555555555
Interest Coverage (MRQ),6.11,18.36,Financial strength,0.33278867102396514
