,SIX
% Above Low,0.3357
% Held by Institutions,1.0537999999999998
52-Wk Range,['16.83 - 47.24']
Annual Dividend $,
Annual Dividend %,
Ask,22.48
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,2.2
Bid,22.47
Bid Size,200.0
Day Change $,-0.12
Day Change %,-0.0053
Day High,22.6
Day Low,22.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.14
Ex-dividend Date,No dividend
Historical Volatility,0.615
Last (size),100.0
Last (time),2:23p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.8
Prev Close,22.6
Price,22.48
Short Interest,0.0956
Today's Open,22.26
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.34375
Growth 1yr High Est,-0.049689440993788914
Growth 1yr Consensus Est,-0.19671972049689446
Growth 2yr Low Est,0.19717261904761907
Growth 2yr High Est,0.1679657370194454
Growth 2yr Consensus Est,0.18256917803353223
Growth 5yr Low Est,-0.2853813328984562
Growth 5yr High Est,-0.373818296532491
Growth 5yr Consensus Est,-0.32959981471547356
Growth 5yr Actual/Est,-1.0988511997685522
Growth 3yr Historic,-1.166382528089354
Price/Earnings (TTM),19.80302
Price/Sales (TTM),1.34703
Price/Book (MRQ),
Price/Cash Flow (TTM),7.38504
5yr Low,8.75
5yr High,73.38
5yr Avg Return,-0.12531666666666666
EPS Growth 5yr,0.0365164
Revenue Growth 5yr,0.0255662
Dividend Growth 5yr,
Short Int Current Month,7793065.0
Short Int Prev Month,9210456.0
Short Int Pct of Float,0.0956409
Days to Cover,2.13544
Float,81.97849
Shares Outstanding,83.1565
Institutions Holding Shares,335.0
FCF Growth 5yr,7.967745964474332
"Price/Earnings (TTM, GAAP)",19.8
"PEG Ratio (TTM, GAAP)",3.26
Gross Profit Margin (TTM),0.9203
Operating Profit Margin (TTM),0.25680000000000003
Net Profit Margin (TTM),0.09910000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.6173
EPS Growth (TTM),1.3715000000000002
Revenue Growth (MRQ),0.1594
Revenue Growth (TTM),0.08259999999999999
Return On Equity (TTM),
Return On Assets (TTM),0.048
Return On Investment (TTM),0.07540000000000001
Revenue Per Employee (TTM),708208.0
Total Debt/Total Capital (MRQ),1.2144
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),6.33
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-26 00:00:00
theStreet since,2021-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-11 00:00:00
ford since,2022-08-26 00:00:00
marketEdge opinion since,
