,AJG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",39.19,19.05,Valuation,2.057217847769029
Price/Sales (TTM),4.95,2.31,Valuation,2.142857142857143
Price/Book (MRQ),4.9,3.65,Valuation,1.3424657534246576
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),0.4279,0.0207,Profitability,20.671497584541065
Operating Profit Margin (TTM),0.18489999999999998,0.1342,Profitability,1.37779433681073
Net Profit Margin (TTM),0.1297,0.1081,Profitability,1.1998149861239593
Annual Dividend Yield,0.0102,0.0167,Dividend,0.6107784431137725
Dividend Change %,0.0618,-0.004,Dividend,-15.45
"Dividend Growth Rate, 3 Years",0.0527,0.0233,Dividend,2.261802575107296
EPS Growth (MRQ),-0.10289999999999999,-0.11750000000000001,Gowth rates,0.8757446808510637
EPS Growth (TTM),0.098,-0.0281,Gowth rates,-3.4875444839857654
Revenue Growth (MRQ),0.0005,0.0922,Gowth rates,0.005422993492407809
Revenue Growth (TTM),0.0699,0.0431,Gowth rates,1.6218097447795825
Return On Equity (TTM),0.12810000000000002,0.35479999999999995,Effectiveness,0.36104847801578366
Return On Assets (TTM),0.0336,0.031200000000000002,Effectiveness,1.0769230769230769
Return On Investment (TTM),0.0702,0.032,Effectiveness,2.19375
Revenue Per Employee (TTM),217821.0,1270541.0,Effectiveness,0.17143956786912032
Total Debt/Total Capital (MRQ),0.42,0.38939999999999997,Financial strength,1.078582434514638
Change in Debt/Total Capital Quarter over Quarter,-0.0021,0.0019,Financial strength,-1.1052631578947367
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),6.91,10.36,Financial strength,0.666988416988417
