,AJG
% Below High,0.0016
% Held by Institutions,0.8578
52-Wk Range,['147.33 - 199.61']
Annual Dividend $,2.04
Annual Dividend %,0.0102
Ask,199.83
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,199.29
Day Change $,1.97
Day Change %,0.01
Day High,199.61
Day Low,197.77
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",5.09
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.267
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,42.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.19
Prev Close,197.32
Short Interest,0.01
Today's Open,198.0
Volume,633917.0
Volume 10-day Avg,842155.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.46476190476190493
Growth 1yr High Est,0.43818181818181823
Growth 1yr Consensus Est,0.4514718614718616
Growth 2yr Low Est,0.27854480153569894
Growth 2yr High Est,0.29115159177106087
Growth 2yr Consensus Est,0.2848481966533799
Growth 5yr Low Est,0.2472564111395003
Growth 5yr High Est,0.25829247511331177
Growth 5yr Consensus Est,0.25277444312640607
Growth 5yr Actual/Est,0.247469934938172
Growth 3yr Historic,0.11265860887283508
Price/Earnings (TTM),39.19105
Price/Sales (TTM),4.94624
Price/Book (MRQ),4.89985
Price/Cash Flow (TTM),24.81152
5yr Low,62.04
5yr High,198.54
5yr Avg Return,0.2125
EPS Growth 5yr,0.1448457
Revenue Growth 5yr,0.076428
Dividend Growth 5yr,0.045916399999999996
Short Int Current Month,2088643.0
Short Int Prev Month,2024211.0
Short Int Pct of Float,0.0100088
Days to Cover,2.26898
Float,208.9064
Shares Outstanding,210.84
Institutions Holding Shares,1155.0
FCF Growth 5yr,0.5313284551646119
"Price/Earnings (TTM, GAAP)",39.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4279
Operating Profit Margin (TTM),0.18489999999999998
Net Profit Margin (TTM),0.1297
Annual Dividend Yield,0.0102
Dividend Change %,0.0618
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),-0.10289999999999999
EPS Growth (TTM),0.098
Revenue Growth (MRQ),0.0005
Revenue Growth (TTM),0.0699
Return On Equity (TTM),0.12810000000000002
Return On Assets (TTM),0.0336
Return On Investment (TTM),0.0702
Revenue Per Employee (TTM),217821.0
Total Debt/Total Capital (MRQ),0.42
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.91
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-11-11 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
marketEdge since,2009-05-21 00:00:00
