,BJ
% Below High,0.0859
% Held by Institutions,0.9506
52-Wk Range,['51.45 - 80.41']
Annual Dividend $,
Annual Dividend %,
Ask,74.3
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.4
Bid,73.5
Bid Size,100.0
Closing Price,73.5
Day Change $,0.52
Day Change %,0.0070999999999999995
Day High,74.28
Day Low,73.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.6
Ex-dividend Date,No dividend
Historical Volatility,0.424
Last (size),47.0
Last (time),5:00p ET 11/25/22
Market Cap,9.9B
"P/E Ratio (TTM, GAAP)",20.41
Prev Close,72.98
Short Interest,0.022799999999999997
Today's Open,73.03
Volume,652009.0
Volume 10-day Avg,2303569.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.17845117845117842
Growth 1yr High Est,0.049315068493150704
Growth 1yr Consensus Est,0.11388312347216456
Growth 2yr Low Est,0.10351130351130355
Growth 2yr High Est,0.050767194820987904
Growth 2yr Consensus Est,0.07713924916614573
Growth 5yr Low Est,0.3104121780916764
Growth 5yr High Est,0.3572799748666272
Growth 5yr Consensus Est,0.3338460764791518
Growth 5yr Actual/Est,0.33394491655872044
Growth 3yr Historic,0.2920545728598661
Price/Earnings (TTM),20.41463
Price/Sales (TTM),0.52717
Price/Book (MRQ),10.47915
Price/Cash Flow (TTM),14.39144
5yr Low,18.84
5yr High,80.41
5yr Avg Return,0.32004000000000005
EPS Growth 5yr,0.5426127000000001
Revenue Growth 5yr,0.0617833
Dividend Growth 5yr,
Short Int Current Month,3029177.0
Short Int Prev Month,4388986.0
Short Int Pct of Float,0.0228174
Days to Cover,1.78024
Float,132.8955
Shares Outstanding,134.4343
Institutions Holding Shares,598.0
FCF Growth 5yr,-2.387342960764303
"Price/Earnings (TTM, GAAP)",20.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.17739999999999997
Operating Profit Margin (TTM),0.0375
Net Profit Margin (TTM),0.0263
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.06860000000000001
EPS Growth (TTM),0.1996
Revenue Growth (MRQ),-0.062400000000000004
Revenue Growth (TTM),0.153
Return On Equity (TTM),0.652
Return On Assets (TTM),0.0808
Return On Investment (TTM),0.1316
Revenue Per Employee (TTM),551277.0
Total Debt/Total Capital (MRQ),0.48700000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.14
Interest Coverage (MRQ),15.49
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-03-03 00:00:00
cfra since,2022-03-03 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2021-08-20 00:00:00
marketEdge opinion since,
