,FNKO
% Above Low,0.21309999999999998
% Held by Institutions,0.6576000000000001
52-Wk Range,['7.60 - 27.79']
Annual Dividend $,
Annual Dividend %,
Ask,9.61
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,9.0
Bid Size,100.0
Closing Price,9.22
Day Change $,-0.06
Day Change %,-0.006500000000000001
Day High,9.4
Day Low,9.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,1.118
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,435.0M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.45
Prev Close,9.28
Short Interest,0.0758
Today's Open,9.25
Volume,224477.0
Volume 10-day Avg,1067726.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.20000000000000007
Growth 1yr High Est,-0.07216494845360821
Growth 1yr Consensus Est,-0.13608247422680414
Growth 2yr Low Est,-0.4680555555555556
Growth 2yr High Est,0.3805841924398625
Growth 2yr Consensus Est,-0.043735681557846545
Growth 5yr Low Est,-0.2340277777777778
Growth 5yr High Est,0.19029209621993126
Growth 5yr Consensus Est,-0.021867840778923273
Growth 5yr Actual/Est,0.5216586965486614
Growth 3yr Historic,0.5558136261261262
Price/Earnings (TTM),9.4534
Price/Sales (TTM),0.35099
Price/Book (MRQ),1.14429
Price/Cash Flow (TTM),4.48208
5yr Low,3.12
5yr High,31.12
5yr Avg Return,0.16093333333333334
EPS Growth 5yr,0.1323052
Revenue Growth 5yr,0.1925588
Dividend Growth 5yr,
Short Int Current Month,2348907.0
Short Int Prev Month,2077794.0
Short Int Pct of Float,0.0757595
Days to Cover,0.75003
Float,31.02399
Shares Outstanding,50.47683
Institutions Holding Shares,196.0
FCF Growth 5yr,-0.14799436411715394
"Price/Earnings (TTM, GAAP)",9.45
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3421
Operating Profit Margin (TTM),0.0538
Net Profit Margin (TTM),0.0444
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.289
EPS Growth (TTM),-0.0563
Revenue Growth (MRQ),0.158
Revenue Growth (TTM),0.44200000000000006
Return On Equity (TTM),0.1292
Return On Assets (TTM),0.05740000000000001
Return On Investment (TTM),0.0883
Revenue Per Employee (TTM),1217575.0
Total Debt/Total Capital (MRQ),0.3665
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),6.2
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-07-09 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
