,FNKO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.45,17.67,Valuation,0.5348047538200339
Price/Sales (TTM),0.35,2.01,Valuation,0.17412935323383086
Price/Book (MRQ),1.14,7.04,Valuation,0.16193181818181818
"PEG Ratio (TTM, GAAP)",,0.5,Valuation,
Gross Profit Margin (TTM),0.3421,0.3592,Profitability,0.9523942093541202
Operating Profit Margin (TTM),0.0538,0.11019999999999999,Profitability,0.48820326678765885
Net Profit Margin (TTM),0.0444,0.0812,Profitability,0.5467980295566504
Annual Dividend Yield,,0.0174,Dividend,
Dividend Change %,,0.08470000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0666,Dividend,
EPS Growth (MRQ),-0.289,0.1691,Gowth rates,-1.7090479006505026
EPS Growth (TTM),-0.0563,0.35119999999999996,Gowth rates,-0.16030751708428248
Revenue Growth (MRQ),0.158,0.0974,Gowth rates,1.62217659137577
Revenue Growth (TTM),0.44200000000000006,0.1319,Gowth rates,3.351023502653526
Return On Equity (TTM),0.1292,0.389,Effectiveness,0.332133676092545
Return On Assets (TTM),0.05740000000000001,0.1268,Effectiveness,0.45268138801261837
Return On Investment (TTM),0.0883,0.1843,Effectiveness,0.47911014650027134
Revenue Per Employee (TTM),1217575.0,554701.0,Effectiveness,2.1950113664839255
Total Debt/Total Capital (MRQ),0.3665,0.43810000000000004,Financial strength,0.8365669938370234
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0046,Financial strength,0.28260869565217395
Quick Ratio (MRQ),0.67,0.85,Financial strength,0.7882352941176471
Interest Coverage (MRQ),6.2,22.65,Financial strength,0.2737306843267108
