,HTZ
% Above Low,0.13470000000000001
% Held by Institutions,0.9642000000000001
52-Wk Range,['15.00 - 26.93']
Annual Dividend $,
Annual Dividend %,
Ask,17.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,16.6
Bid Size,100.0
Closing Price,17.02
Day Change $,0.17
Day Change %,0.0101
Day High,17.21
Day Low,16.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.16
Ex-dividend Date,No dividend
Historical Volatility,0.604
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,5.7B
"P/E Ratio (TTM, GAAP)",5.38
Prev Close,16.85
Short Interest,0.0687
Today's Open,16.88
Volume,785960.0
Volume 10-day Avg,2373362.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4106145251396649
Growth 2yr High Est,-0.3121693121693121
Growth 2yr Consensus Est,-0.3613919186544885
Growth 5yr Low Est,-0.4106145251396649
Growth 5yr High Est,-0.3121693121693121
Growth 5yr Consensus Est,-0.3613919186544885
Growth 5yr Actual/Est,-2.1018858927268274
Growth 3yr Historic,-1.9731378735132
Price/Earnings (TTM),5.38391
Price/Sales (TTM),0.66099
Price/Book (MRQ),2.10345
Price/Cash Flow (TTM),2.81658
5yr Low,14.15
5yr High,46.0
5yr Avg Return,-0.10425
EPS Growth 5yr,
Revenue Growth 5yr,-0.0358031
Dividend Growth 5yr,
Short Int Current Month,22488263.0
Short Int Prev Month,22228578.0
Short Int Pct of Float,0.0687389
Days to Cover,8.63534
Float,330.3625
Shares Outstanding,333.9522
Institutions Holding Shares,286.0
FCF Growth 5yr,0.21223864319129448
"Price/Earnings (TTM, GAAP)",5.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.46520000000000006
Operating Profit Margin (TTM),0.2854
Net Profit Margin (TTM),0.1955
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.31329999999999997
EPS Growth (TTM),6.9979
Revenue Growth (MRQ),0.06480000000000001
Revenue Growth (TTM),0.2984
Return On Equity (TTM),0.36369999999999997
Return On Assets (TTM),0.08140000000000001
Return On Investment (TTM),0.0965
Revenue Per Employee (TTM),373870.0
Total Debt/Total Capital (MRQ),0.8334
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),10.36
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-02 00:00:00
researchTeam since,2022-08-05 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
