,HTZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.38,29.96,Valuation,0.1795727636849132
Price/Sales (TTM),0.66,3.76,Valuation,0.17553191489361705
Price/Book (MRQ),2.1,7.0,Valuation,0.3
"PEG Ratio (TTM, GAAP)",,3.13,Valuation,
Gross Profit Margin (TTM),0.46520000000000006,0.5844,Profitability,0.7960301163586585
Operating Profit Margin (TTM),0.2854,0.2133,Profitability,1.338021565869667
Net Profit Margin (TTM),0.1955,0.1038,Profitability,1.8834296724470134
Annual Dividend Yield,,0.013000000000000001,Dividend,
Dividend Change %,,0.09210000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.09480000000000001,Dividend,
EPS Growth (MRQ),-0.31329999999999997,0.3065,Gowth rates,-1.0221859706362153
EPS Growth (TTM),6.9979,0.0956,Gowth rates,73.19979079497907
Revenue Growth (MRQ),0.06480000000000001,0.2373,Gowth rates,0.2730720606826802
Revenue Growth (TTM),0.2984,0.2979,Gowth rates,1.0016784155756966
Return On Equity (TTM),0.36369999999999997,0.1677,Effectiveness,2.1687537268932617
Return On Assets (TTM),0.08140000000000001,0.065,Effectiveness,1.2523076923076926
Return On Investment (TTM),0.0965,0.06480000000000001,Effectiveness,1.4891975308641974
Revenue Per Employee (TTM),373870.0,723294.0,Effectiveness,0.5168990756179368
Total Debt/Total Capital (MRQ),0.8334,0.5356000000000001,Financial strength,1.5560119492158326
Change in Debt/Total Capital Quarter over Quarter,0.0031,0.0005,Financial strength,6.199999999999999
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),10.36,13.38,Financial strength,0.7742899850523168
