,HSKA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),2.6,9.8,Valuation,0.2653061224489796
Price/Book (MRQ),1.65,10.31,Valuation,0.1600387972841901
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.4291,0.6196,Profitability,0.6925435765009683
Operating Profit Margin (TTM),-0.0639,0.047,Profitability,-1.3595744680851063
Net Profit Margin (TTM),-0.0567,0.009300000000000001,Profitability,-6.096774193548386
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.917,-0.4858,Gowth rates,-1.8876080691642652
EPS Growth (TTM),-8.2456,-0.2029,Gowth rates,40.638738294726465
Revenue Growth (MRQ),-0.0492,0.1161,Gowth rates,-0.42377260981912146
Revenue Growth (TTM),0.0362,0.18300000000000002,Gowth rates,0.19781420765027322
Return On Equity (TTM),-0.0385,0.1068,Effectiveness,-0.3604868913857678
Return On Assets (TTM),-0.0252,0.0622,Effectiveness,-0.40514469453376206
Return On Investment (TTM),-0.0269,0.0732,Effectiveness,-0.3674863387978142
Revenue Per Employee (TTM),395476.0,403586.0,Effectiveness,0.9799051503273156
Total Debt/Total Capital (MRQ),0.1942,0.3161,Financial strength,0.6143625434988929
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0125,Financial strength,0.023999999999999997
Quick Ratio (MRQ),5.61,2.25,Financial strength,2.4933333333333336
Interest Coverage (MRQ),2.52,14.99,Financial strength,0.16811207471647766
