,HSKA
% Above Low,0.0716
% Held by Institutions,0.9664
52-Wk Range,['58.00 - 189.37']
Annual Dividend $,
Annual Dividend %,
Ask,73.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,53.5
Bid Size,100.0
Closing Price,62.15
Day Change $,-0.73
Day Change %,-0.0116
Day High,63.8
Day Low,61.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.58
Ex-dividend Date,No dividend
Historical Volatility,0.522
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,672.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,62.88
Short Interest,0.094
Today's Open,62.61
Volume,37053.0
Volume 10-day Avg,76573.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.36994219653179183
Growth 2yr High Est,-1.7000000000000002
Growth 2yr Consensus Est,-1.034971098265896
Growth 5yr Low Est,-0.36994219653179183
Growth 5yr High Est,-1.7000000000000002
Growth 5yr Consensus Est,-1.034971098265896
Growth 5yr Actual/Est,4.728787534356981
Growth 3yr Historic,1.5915662650602407
Price/Earnings (TTM),
Price/Sales (TTM),2.59735
Price/Book (MRQ),1.64926
Price/Cash Flow (TTM),
5yr Low,50.0
5yr High,275.94
5yr Avg Return,0.0344
EPS Growth 5yr,
Revenue Growth 5yr,0.14296609999999998
Dividend Growth 5yr,
Short Int Current Month,954037.0
Short Int Prev Month,1003793.0
Short Int Pct of Float,0.0939817
Days to Cover,8.79402
Float,10.15521
Shares Outstanding,10.82559
Institutions Holding Shares,225.0
FCF Growth 5yr,-1.6303606838203555
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4291
Operating Profit Margin (TTM),-0.0639
Net Profit Margin (TTM),-0.0567
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.917
EPS Growth (TTM),-8.2456
Revenue Growth (MRQ),-0.0492
Revenue Growth (TTM),0.0362
Return On Equity (TTM),-0.0385
Return On Assets (TTM),-0.0252
Return On Investment (TTM),-0.0269
Revenue Per Employee (TTM),395476.0
Total Debt/Total Capital (MRQ),0.1942
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),5.61
Interest Coverage (MRQ),2.52
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-02-14 00:00:00
researchTeam since,2022-02-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
