,PGC
% Below High,0.025699999999999997
% Held by Institutions,0.7495
52-Wk Range,['27.71 - 42.19']
Annual Dividend $,0.2
Annual Dividend %,0.0048
Ask,41.15
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,41.03
Bid Size,300.0
Day Change $,-0.2061
Day Change %,-0.005
Day High,41.19
Day Low,40.97
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",3.68
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.27
Last (size),3.0
Last (time),10:38a ET 11/28/22
Market Cap,736.6M
"P/E Ratio (TTM, GAAP)",11.22
Prev Close,41.31
Price,41.1
Short Interest,0.0104
Today's Open,41.19
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.6652719665271967
Growth 1yr High Est,0.6300813008130082
Growth 1yr Consensus Est,0.6476766336701024
Growth 2yr Low Est,0.36655558125354804
Growth 2yr High Est,0.3711503760922896
Growth 2yr Consensus Est,0.36885297867291883
Growth 5yr Low Est,0.18327779062677402
Growth 5yr High Est,0.1855751880461448
Growth 5yr Consensus Est,0.18442648933645941
Growth 5yr Actual/Est,0.2291333176626798
Growth 3yr Historic,0.1332149093025512
Price/Earnings (TTM),11.21515
Price/Sales (TTM),3.16613
Price/Book (MRQ),1.43604
Price/Cash Flow (TTM),10.06755
5yr Low,11.15
5yr High,42.19
5yr Avg Return,0.059466666666666654
EPS Growth 5yr,0.1285502
Revenue Growth 5yr,0.0646027
Dividend Growth 5yr,0.0
Short Int Current Month,167107.0
Short Int Prev Month,191594.0
Short Int Pct of Float,0.0103912
Days to Cover,2.60454
Float,16.13192
Shares Outstanding,17.92077
Institutions Holding Shares,188.0
FCF Growth 5yr,0.4050962781520037
"Price/Earnings (TTM, GAAP)",11.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),0.29309999999999997
Annual Dividend Yield,0.0048
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.0326
EPS Growth (TTM),0.5947
Revenue Growth (MRQ),0.1338
Revenue Growth (TTM),0.21230000000000002
Return On Equity (TTM),0.1295
Return On Assets (TTM),0.0111
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2021-04-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
