,LULU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",42.29,21.69,Valuation,1.9497464269248501
Price/Sales (TTM),6.52,3.75,Valuation,1.7386666666666666
Price/Book (MRQ),16.78,9.43,Valuation,1.7794273594909864
"PEG Ratio (TTM, GAAP)",1.95,2.33,Valuation,0.8369098712446351
Gross Profit Margin (TTM),0.5653,0.49729999999999996,Profitability,1.1367383872913734
Operating Profit Margin (TTM),0.2138,0.1348,Profitability,1.586053412462908
Net Profit Margin (TTM),0.156,0.0965,Profitability,1.616580310880829
Annual Dividend Yield,,0.013999999999999999,Dividend,
Dividend Change %,,0.0796,Dividend,
"Dividend Growth Rate, 3 Years",,0.059800000000000006,Dividend,
EPS Growth (MRQ),0.5314,0.44920000000000004,Gowth rates,1.1829919857524487
EPS Growth (TTM),0.3518,0.0931,Gowth rates,3.778732545649839
Revenue Growth (MRQ),0.158,0.0901,Gowth rates,1.753607103218646
Revenue Growth (TTM),0.2783,0.1015,Gowth rates,2.7418719211822657
Return On Equity (TTM),0.3986,0.35840000000000005,Effectiveness,1.1121651785714284
Return On Assets (TTM),0.23629999999999998,0.14250000000000002,Effectiveness,1.6582456140350874
Return On Investment (TTM),0.30870000000000003,0.1893,Effectiveness,1.6307448494453252
Revenue Per Employee (TTM),243494.0,519163.0,Effectiveness,0.46901262224002865
Total Debt/Total Capital (MRQ),0.0,0.31579999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0002,Financial strength,
Quick Ratio (MRQ),0.77,1.39,Financial strength,0.5539568345323741
Interest Coverage (MRQ),,76.17,Financial strength,
