,LULU
% Below High,0.2296
% Held by Institutions,0.8682
52-Wk Range,['251.51 - 468.77']
Annual Dividend $,
Annual Dividend %,
Ask,371.0
Ask Size,100.0
Ask close,383.06
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,353.19
Bid Size,100.0
Bid close,336.67
Change Since Close,-4.28| |(-1.19%)
Closing Price,361.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.54
Ex-dividend Date,No dividend
Historical Volatility,0.48
Last (size),100.0
Last (time),1:00p ET 11/25/22
Last Trade,356.88
Market Cap,46.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",42.29
Prev Close,361.16
Short Interest,0.0236
Today's Open,
Volume,122.0
Volume 10-day Avg,1252691.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.2758620689655171
Growth 1yr High Est,0.29177377892030854
Growth 1yr Consensus Est,0.28381792394291283
Growth 2yr Low Est,0.13845078500250918
Growth 2yr High Est,0.24638440189796518
Growth 2yr Consensus Est,0.19241759345023718
Growth 5yr Low Est,0.2315558188578438
Growth 5yr High Est,0.2753587021789684
Growth 5yr Consensus Est,0.2534572605184061
Growth 5yr Actual/Est,0.2580396980053211
Growth 3yr Historic,0.15269841612360277
Price/Earnings (TTM),42.29486
Price/Sales (TTM),6.52147
Price/Book (MRQ),16.77529
Price/Cash Flow (TTM),34.00207
5yr Low,65.3
5yr High,485.83
5yr Avg Return,0.3688
EPS Growth 5yr,0.276385
Revenue Growth 5yr,0.2169195
Dividend Growth 5yr,
Short Int Current Month,2760936.0
Short Int Prev Month,2573725.0
Short Int Pct of Float,0.0236213
Days to Cover,2.0828
Float,111.6822
Shares Outstanding,127.5064
Institutions Holding Shares,1334.0
FCF Growth 5yr,0.1072186293014928
"Price/Earnings (TTM, GAAP)",42.29
"PEG Ratio (TTM, GAAP)",1.95
Gross Profit Margin (TTM),0.5653
Operating Profit Margin (TTM),0.2138
Net Profit Margin (TTM),0.156
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5314
EPS Growth (TTM),0.3518
Revenue Growth (MRQ),0.158
Revenue Growth (TTM),0.2783
Return On Equity (TTM),0.3986
Return On Assets (TTM),0.23629999999999998
Return On Investment (TTM),0.30870000000000003
Revenue Per Employee (TTM),243494.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.77
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2022-04-12 00:00:00
newConstructs since,2022-11-28 00:00:00
cfra since,2022-09-02 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
