,OKTA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),4.97,19.35,Valuation,0.2568475452196382
Price/Book (MRQ),1.46,19.03,Valuation,0.0767209668943773
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.6888,0.44520000000000004,Profitability,1.5471698113207546
Operating Profit Margin (TTM),-0.5378000000000001,0.3027,Profitability,-1.7766765774694417
Net Profit Margin (TTM),-0.5721,0.23600000000000002,Profitability,-2.4241525423728816
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.1412,-3.5570999999999997,Gowth rates,-0.039695257372578785
EPS Growth (TTM),-0.5488000000000001,0.15560000000000002,Gowth rates,-3.526992287917738
Revenue Growth (MRQ),0.0888,0.16460000000000002,Gowth rates,0.5394896719319562
Revenue Growth (TTM),0.5712,0.2273,Gowth rates,2.5129784425868897
Return On Equity (TTM),-0.1593,0.5459,Effectiveness,-0.2918116871221835
Return On Assets (TTM),-0.1017,0.1131,Effectiveness,-0.8992042440318302
Return On Investment (TTM),-0.1155,0.189,Effectiveness,-0.6111111111111112
Revenue Per Employee (TTM),318180.0,686063.0,Effectiveness,0.46377665024932113
Total Debt/Total Capital (MRQ),0.287,0.5613,Financial strength,0.511313023338678
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0048,Financial strength,0.4375
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
