,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,108.75,80.81,,,,,
low,74.34,40.0,,,,,
change,-0.048,-0.405,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,586.0,587.0,563.0,265.0,Balance Sheet
Short Term Investments,,,,,,293.0,Balance Sheet
Cash and Short Term Invs,,,586.0,587.0,563.0,558.0,Balance Sheet
"Total Receivables, Net",,,131.0,98.0,109.0,127.0,Balance Sheet
Prepaid Expenses,,,35.0,41.0,44.0,50.0,Balance Sheet
Total Current Assets,,,752.0,726.0,716.0,735.0,Balance Sheet
Prop./Plant/Equip. - Net,,,121.0,126.0,128.0,124.0,Balance Sheet
"Goodwill, Net",,,541.0,540.0,540.0,539.0,Balance Sheet
Intangibles - Gross,,,251.0,259.0,266.0,275.0,Balance Sheet
Accum. Intangible Amort.,,,-22.0,-32.0,-41.0,-51.0,Balance Sheet
Intangibles - Net,,,229.0,227.0,225.0,224.0,Balance Sheet
Note Rcvble - Long Term,,,26.0,29.0,30.0,34.0,Balance Sheet
Other Long Term Assets,,,19.0,24.0,24.0,22.0,Balance Sheet
Total Assets,,,1691.0,1672.0,1662.0,1677.0,Balance Sheet
Accounts Payable,,,15.0,14.0,21.0,16.0,Balance Sheet
Accrued Expenses,,,66.0,59.0,52.0,83.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,302.0,310.0,317.0,329.0,Balance Sheet
Other Current Liabilities,,,21.0,25.0,29.0,30.0,Balance Sheet
"Other Curr. Lblts, Total",,,322.0,335.0,346.0,360.0,Balance Sheet
Total Current Liabilities,,,404.0,409.0,419.0,459.0,Balance Sheet
Total Long Term Debt,,,47.0,47.0,46.0,46.0,Balance Sheet
Total Debt,,,47.0,47.0,46.0,46.0,Balance Sheet
"Other Liabilities, Total",,,50.0,52.0,50.0,48.0,Balance Sheet
Total Liabilities,,,501.0,508.0,516.0,553.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,,,,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1852.0,1898.0,1954.0,2005.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-662.0,-734.0,-807.0,-878.0,Balance Sheet
"Other Equity, Total",,,-1.0,0.0,-1.0,-3.0,Balance Sheet
Total Equity,,,1189.0,1164.0,1146.0,1124.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1691.0,1672.0,1662.0,1677.0,Balance Sheet
Ttl Comm. Shares Outs.,,,134.0,135.0,134.0,138.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,3.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,146103.0,159516.0,172205.0,186429.0,Income Statement
"Cost of Revenue, Total",,,29767.0,33332.0,36735.0,37779.0,Income Statement
Selling/Gen/Admin Expense,,,103381.0,109973.0,120850.0,120022.0,Income Statement
Labor & Related Expense,,,24483.0,22743.0,18705.0,25184.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,127864.0,132716.0,139555.0,145206.0,Income Statement
Research & Development,,,59767.0,58251.0,61837.0,68937.0,Income Statement
Depreciation/Amortization,,,3155.0,4008.0,4001.0,3983.0,Income Statement
Restructuring Charge,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,2346.0,2379.0,2337.0,Income Statement
Unusual Expense (Income),,,0.0,2346.0,2379.0,2337.0,Income Statement
Total Operating Expense,,,220553.0,230653.0,244507.0,258242.0,Income Statement
Total Operating Income,,,-74450.0,-71137.0,-72302.0,-71813.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-504.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,2143.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,-494.0,-491.0,111.0,,Income Statement
"Other, Net",,,37.0,543.0,-890.0,-698.0,Income Statement
Income Before Tax,,,-74907.0,-71085.0,-73081.0,-70872.0,Income Statement
Income Tax - Total,,,-23935.0,334.0,42.0,333.0,Income Statement
Income After Tax,,,-50972.0,-71419.0,-73123.0,-71205.0,Income Statement
Net Inc Before Extra Items,,,-50972.0,-71419.0,-73123.0,-71205.0,Income Statement
Total Net Income,,,-50972.0,-71419.0,-73123.0,-71205.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-50972.0,-71419.0,-73123.0,-71205.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-50972.0,-71419.0,-73123.0,-71205.0,Income Statement
Basic/Primary Weighted Average Shares,,,140318.0,134530.0,135928.0,137181.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.36,-0.53,-0.54,-0.52,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.36,-0.53,-0.54,-0.52,Income Statement
Diluted Weighted Average Shares,,,140318.0,134530.0,135928.0,137181.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.36,-0.53,-0.54,-0.52,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.36,-0.53,-0.54,-0.52,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,504.0,Income Statement
"Depreciat/Amort, Suppl",,,5688.0,5485.0,5748.0,6293.0,Income Statement
Total Special Items,,,0.0,2346.0,2379.0,2337.0,Income Statement
Normalzd Income Before Tax,,,-74907.0,-68739.0,-70702.0,-68535.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,0.0,821.0,833.0,818.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,-23935.0,1155.0,875.0,1151.0,Income Statement
Normalized Income After Tax,,,-50972.0,-69894.0,-71577.0,-69686.0,Income Statement
Normalzd Inc Avail to Common,,,-50972.0,-69894.0,-71577.0,-69686.0,Income Statement
Basic Normalized EPS,,,-0.36,-0.52,-0.53,-0.51,Income Statement
Diluted Normalized EPS,,,-0.36,-0.52,-0.53,-0.51,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-265.0,-71.0,-145.0,-216.0,Cash Flow
Depreciation/Depletion,,,36.0,15.0,31.0,46.0,Cash Flow
Deferred Taxes,,,-24.0,0.0,-1.0,0.0,Cash Flow
Unusual Items,,,1.0,0.0,1.0,1.0,Cash Flow
Other Non-Cash Items,,,235.0,39.0,76.0,124.0,Cash Flow
