,PCOR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),9.95,9.39,Valuation,1.0596379126730564
Price/Book (MRQ),5.88,12.63,Valuation,0.46555819477434673
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7928000000000001,0.7206,Profitability,1.1001942825423259
Operating Profit Margin (TTM),-0.4361,0.2172,Profitability,-2.0078268876611416
Net Profit Margin (TTM),-0.40149999999999997,0.1553,Profitability,-2.5853187379265936
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0351,-0.0752,Gowth rates,-0.46675531914893614
EPS Growth (TTM),,-0.2824,Gowth rates,
Revenue Growth (MRQ),0.08259999999999999,0.15560000000000002,Gowth rates,0.530848329048843
Revenue Growth (TTM),,0.1906,Gowth rates,
Return On Equity (TTM),-0.23750000000000002,0.2189,Effectiveness,-1.0849703060758338
Return On Assets (TTM),-0.16570000000000001,0.10740000000000001,Effectiveness,-1.542830540037244
Return On Investment (TTM),-0.2184,0.1387,Effectiveness,-1.5746214852198992
Revenue Per Employee (TTM),230244.0,667721.0,Effectiveness,0.3448206661165367
Total Debt/Total Capital (MRQ),0.0391,0.39659999999999995,Financial strength,0.09858799798285428
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0004,Financial strength,-2.9999999999999996
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
