,PCOR
% Above Low,0.1825
% Held by Institutions,0.8195
52-Wk Range,['40.00 - 89.78']
Annual Dividend $,
Annual Dividend %,
Ask,47.37
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,47.15
Bid Size,200.0
Day Change $,-0.58
Day Change %,-0.0121
Day High,48.36
Day Low,47.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.95
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),100.0
Last (time),10:15a ET 11/28/22
Market Cap,6.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,47.88
Price,47.3
Short Interest,0.0724
Today's Open,47.14
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.15254237288135597
Growth 2yr High Est,-0.13725490196078427
Growth 2yr Consensus Est,0.00764373546028585
Growth 5yr Low Est,0.15254237288135597
Growth 5yr High Est,-0.13725490196078427
Growth 5yr Consensus Est,0.00764373546028585
Growth 5yr Actual/Est,0.2704260651629073
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),9.94783
Price/Book (MRQ),5.87558
Price/Cash Flow (TTM),
5yr Low,40.0
5yr High,108.75
5yr Avg Return,-0.22649999999999998
Short Int Current Month,6339973.0
Short Int Prev Month,6467677.0
Short Int Pct of Float,0.0724089
Days to Cover,7.33227
Float,121.445
Shares Outstanding,138.0091
Institutions Holding Shares,274.0
FCF Growth 5yr,2.0535745047372953
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7928000000000001
Operating Profit Margin (TTM),-0.4361
Net Profit Margin (TTM),-0.40149999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0351
EPS Growth (TTM),
Revenue Growth (MRQ),0.08259999999999999
Revenue Growth (TTM),
Return On Equity (TTM),-0.23750000000000002
Return On Assets (TTM),-0.16570000000000001
Return On Investment (TTM),-0.2184
Revenue Per Employee (TTM),230244.0
Total Debt/Total Capital (MRQ),0.0391
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-06-22 00:00:00
theStreet since,2022-06-22 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
