,SCHW
% Below High,0.1643
% Held by Institutions,0.7451000000000001
52-Wk Range,['59.35 - 96.24']
Annual Dividend $,0.88
Annual Dividend %,0.0108
Ask,80.43
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,80.41
Bid Size,100.0
Day Change $,-1.18
Day Change %,-0.014499999999999999
Day High,81.27
Day Low,80.35
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",3.29
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.373
Last (size),100.0
Last (time),1:47p ET 11/28/22
Market Cap,150.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.77
Prev Close,81.61
Price,80.43
Short Interest,0.0095
Today's Open,80.92
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.2068965517241379
Growth 1yr High Est,0.2127659574468086
Growth 1yr Consensus Est,0.20983125458547325
Growth 2yr Low Est,0.17747424988804295
Growth 2yr High Est,0.2642777155655095
Growth 2yr Consensus Est,0.22087598272677622
Growth 5yr Low Est,0.17066386944094689
Growth 5yr High Est,0.1910472035353628
Growth 5yr Consensus Est,0.18085553648815483
Growth 5yr Actual/Est,0.1725013997760987
Growth 3yr Historic,0.061033402124894914
Price/Earnings (TTM),24.77422
Price/Sales (TTM),7.31231
Price/Book (MRQ),5.72496
Price/Cash Flow (TTM),20.31803
5yr Low,28.0
5yr High,96.24
5yr Avg Return,0.11560000000000001
EPS Growth 5yr,0.1663836
Revenue Growth 5yr,0.19968789999999997
Dividend Growth 5yr,0.2167287
Short Int Current Month,16052381.0
Short Int Prev Month,14611831.0
Short Int Pct of Float,0.009478499999999999
Days to Cover,2.09214
Float,1693.677
Shares Outstanding,1866.739
Institutions Holding Shares,1947.0
FCF Growth 5yr,-1.100114193582961
"Price/Earnings (TTM, GAAP)",24.77
"PEG Ratio (TTM, GAAP)",1.13
Gross Profit Margin (TTM),0.9587000000000001
Operating Profit Margin (TTM),0.423
Net Profit Margin (TTM),0.3261
Annual Dividend Yield,0.0108
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.1611
EPS Growth (MRQ),0.1459
EPS Growth (TTM),0.2532
Revenue Growth (MRQ),0.1278
Revenue Growth (TTM),0.1303
Return On Equity (TTM),0.16870000000000002
Return On Assets (TTM),0.0115
Return On Investment (TTM),0.1008
Revenue Per Employee (TTM),623772.0
Total Debt/Total Capital (MRQ),0.9184000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2020-10-09 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-01 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
