,PCG
% Below High,0.0339
% Held by Institutions,0.7145999999999999
52-Wk Range,['9.64 - 15.61']
Annual Dividend $,
Annual Dividend %,
Ask,15.06
Ask Size,2400.0
B/A Ratio,2.0416666666666665
B/A Size,4900x2400
Beta,1.1
Bid,15.07
Bid Size,4900.0
Day Change $,-0.294
Day Change %,-0.0191
Day High,15.15
Day Low,14.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.84
Ex-dividend Date,No dividend
Historical Volatility,0.36
Last (size),100.0
Last (time),10:16a ET 11/28/22
Market Cap,30.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.29
Prev Close,15.37
Price,15.08
Short Interest,0.053099999999999994
Today's Open,15.08
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.7093333333333334
Growth 1yr High Est,-0.7338129496402878
Growth 1yr Consensus Est,-0.7215731414868105
Growth 2yr Low Est,-0.3042079510703365
Growth 2yr High Est,-0.3038434117570809
Growth 2yr Consensus Est,-0.30402568141370867
Growth 5yr Low Est,-0.15210397553516825
Growth 5yr High Est,-0.15192170587854045
Growth 5yr Consensus Est,-0.15201284070685434
Growth 5yr Actual/Est,-0.19797847694462364
Growth 3yr Historic,-0.22988083384698052
Price/Earnings (TTM),18.28608
Price/Sales (TTM),1.75793
Price/Book (MRQ),1.37406
Price/Cash Flow (TTM),6.84375
5yr Low,3.55
5yr High,55.28
5yr Avg Return,-0.1376
EPS Growth 5yr,
Revenue Growth 5yr,0.031627
Dividend Growth 5yr,
Short Int Current Month,112177987.0
Short Int Prev Month,128838701.0
Short Int Pct of Float,0.0530683
Days to Cover,6.34265
Float,2123.105
Shares Outstanding,2465.444
Institutions Holding Shares,621.0
FCF Growth 5yr,1.0694483398386347
"Price/Earnings (TTM, GAAP)",18.29
"PEG Ratio (TTM, GAAP)",3.86
Gross Profit Margin (TTM),0.3149
Operating Profit Margin (TTM),0.10890000000000001
Net Profit Margin (TTM),0.08230000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2863
EPS Growth (TTM),5.0428
Revenue Growth (MRQ),0.053899999999999997
Revenue Growth (TTM),0.0701
Return On Equity (TTM),0.0824
Return On Assets (TTM),0.0161
Return On Investment (TTM),0.0188
Revenue Per Employee (TTM),829077.0
Total Debt/Total Capital (MRQ),0.6927
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),1.77
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-31 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
