,AIMC
% Below High,0.0346
% Held by Institutions,0.9831
52-Wk Range,['32.18 - 60.44']
Annual Dividend $,0.36
Annual Dividend %,0.0062
Ask,62.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,58.04
Bid Size,100.0
Closing Price,58.35
Day Change $,-0.11
Day Change %,-0.0019
Day High,58.53
Day Low,58.31
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",0.25
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.578
Last (size),31.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",233.43
Prev Close,58.46
Short Interest,0.024399999999999998
Today's Open,58.35
Volume,545266.0
Volume 10-day Avg,1034470.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.4279279279279278
Growth 1yr High Est,-0.04179104477611939
Growth 1yr Consensus Est,0.1930684415759042
Growth 2yr Low Est,0.2029229545002415
Growth 2yr High Est,0.019602919979541555
Growth 2yr Consensus Est,0.11126293723989153
Growth 5yr Low Est,0.05074987262078079
Growth 5yr High Est,0.05105694244591116
Growth 5yr Consensus Est,0.050903407533345976
Growth 5yr Actual/Est,0.0399047349244126
Growth 3yr Historic,0.03126214063714067
Price/Earnings (TTM),233.428
Price/Sales (TTM),1.95418
Price/Book (MRQ),1.9956
Price/Cash Flow (TTM),32.22573
5yr Low,12.0
5yr High,68.07
5yr Avg Return,0.10196666666666665
EPS Growth 5yr,-0.1530191
Revenue Growth 5yr,0.2179343
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,1574679.0
Short Int Prev Month,962528.0
Short Int Pct of Float,0.0244273
Days to Cover,0.64199
Float,64.4671
Shares Outstanding,65.16943
Institutions Holding Shares,307.0
FCF Growth 5yr,-1.322519465962089
"Price/Earnings (TTM, GAAP)",233.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34950000000000003
Operating Profit Margin (TTM),0.0487
Net Profit Margin (TTM),0.0087
Annual Dividend Yield,0.0062
Dividend Change %,-0.0323
"Dividend Growth Rate, 3 Years",-0.23870000000000002
EPS Growth (MRQ),0.2776
EPS Growth (TTM),-0.8887999999999999
Revenue Growth (MRQ),-0.0638
Revenue Growth (TTM),0.0333
Return On Equity (TTM),0.0086
Return On Assets (TTM),0.0044
Return On Investment (TTM),0.0048
Revenue Per Employee (TTM),202698.0
Total Debt/Total Capital (MRQ),0.3566
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.41
Interest Coverage (MRQ),4.77
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2021-10-29 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-02-17 00:00:00
