,VVX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",34.67,50.64,Valuation,0.6846366508688784
Price/Sales (TTM),0.53,4.74,Valuation,0.11181434599156118
Price/Book (MRQ),1.26,4.28,Valuation,0.29439252336448596
"PEG Ratio (TTM, GAAP)",,1.95,Valuation,
Gross Profit Margin (TTM),0.0902,0.19460000000000002,Profitability,0.4635149023638232
Operating Profit Margin (TTM),0.0149,-0.5263,Profitability,-0.028310849325479764
Net Profit Margin (TTM),0.0016,-0.5391,Profitability,-0.0029679094787608976
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-1.652,-3.8235,Gowth rates,0.43206486203740024
EPS Growth (TTM),-0.7474,0.2595,Gowth rates,-2.880154142581888
Revenue Growth (MRQ),0.9238,0.0689,Gowth rates,13.407837445573293
Revenue Growth (TTM),0.35619999999999996,0.0147,Gowth rates,24.2312925170068
Return On Equity (TTM),0.005699999999999999,0.1825,Effectiveness,0.031232876712328765
Return On Assets (TTM),0.0019,0.047,Effectiveness,0.04042553191489362
Return On Investment (TTM),0.0025,0.0521,Effectiveness,0.04798464491362764
Revenue Per Employee (TTM),287914.0,411752.0,Effectiveness,0.6992412908741183
Total Debt/Total Capital (MRQ),0.5679,0.5861,Financial strength,0.9689472786213956
Change in Debt/Total Capital Quarter over Quarter,0.0189,-0.0001,Financial strength,-189.0
Quick Ratio (MRQ),,1.06,Financial strength,
Interest Coverage (MRQ),1.2,7.88,Financial strength,0.15228426395939085
