,PII
% Below High,0.1175
% Held by Institutions,0.8853
52-Wk Range,['91.86 - 127.37']
Annual Dividend $,2.56
Annual Dividend %,0.022799999999999997
Ask,112.52
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,112.31
Bid Size,100.0
Day Change $,0.03
Day Change %,0.0003
Day High,113.06
Day Low,111.61
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.17
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.43
Last (size),100.0
Last (time),10:50a ET 11/28/22
Market Cap,6.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.76
Prev Close,112.38
Price,112.41
Short Interest,0.1106
Today's Open,111.61
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.13228699551569512
Growth 1yr High Est,0.13186813186813207
Growth 1yr Consensus Est,0.1320775636919136
Growth 2yr Low Est,0.012183101718243605
Growth 2yr High Est,0.1644777552544543
Growth 2yr Consensus Est,0.08833042848634895
Growth 5yr Low Est,0.11403697622027745
Growth 5yr High Est,0.19163856167146093
Growth 5yr Consensus Est,0.1528377689458692
Growth 5yr Actual/Est,0.13620396477791658
Growth 3yr Historic,0.10106752690282278
Price/Earnings (TTM),13.76332
Price/Sales (TTM),0.77955
Price/Book (MRQ),6.40972
Price/Cash Flow (TTM),9.0163
5yr Low,37.36
5yr High,147.73
5yr Avg Return,0.002316666666666668
EPS Growth 5yr,0.19237559999999998
Revenue Growth 5yr,0.1266287
Dividend Growth 5yr,0.0275325
Short Int Current Month,6057898.0
Short Int Prev Month,5585210.0
Short Int Pct of Float,0.1106445
Days to Cover,9.42699
Float,54.80505
Shares Outstanding,57.95851
Institutions Holding Shares,534.0
FCF Growth 5yr,7.4206755601471714
"Price/Earnings (TTM, GAAP)",13.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.21920000000000003
Operating Profit Margin (TTM),0.0797
Net Profit Margin (TTM),0.0591
Annual Dividend Yield,0.022799999999999997
Dividend Change %,0.0161
"Dividend Growth Rate, 3 Years",0.016399999999999998
EPS Growth (MRQ),0.34049999999999997
EPS Growth (TTM),-0.14220000000000002
Revenue Growth (MRQ),0.13470000000000001
Revenue Growth (TTM),0.099
Return On Equity (TTM),0.4425
Return On Assets (TTM),0.09910000000000001
Return On Investment (TTM),0.1673
Revenue Per Employee (TTM),522206.0
Total Debt/Total Capital (MRQ),0.6768000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),0.41
Interest Coverage (MRQ),30.28
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
