,BOMN
% Below High,0.0944
% Held by Institutions,0.6645
52-Wk Range,['18.68 - 30.94']
Annual Dividend $,
Annual Dividend %,
Ask,30.0
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,0.6
Bid,25.25
Bid Size,100.0
Closing Price,28.02
Day Change $,-0.28
Day Change %,-0.009899999999999999
Day High,28.55
Day Low,28.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.444
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,832.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,28.3
Short Interest,0.0296
Today's Open,28.3
Volume,43751.0
Volume 10-day Avg,81618.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-27 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6499999999999999
Growth 2yr High Est,-0.85
Growth 2yr Consensus Est,-0.75
Growth 5yr Low Est,-0.6499999999999999
Growth 5yr High Est,-0.85
Growth 5yr Consensus Est,-0.75
Growth 5yr Actual/Est,29.380036630036628
Growth 3yr Historic,30.0
Price/Earnings (TTM),
Price/Sales (TTM),11.2873
Price/Book (MRQ),1.66442
Price/Cash Flow (TTM),247.7081
5yr Low,13.04
5yr High,49.92
5yr Avg Return,0.062266666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.7146922000000001
Dividend Growth 5yr,
Short Int Current Month,813653.0
Short Int Prev Month,939629.0
Short Int Pct of Float,0.029646
Days to Cover,9.09882
Float,27.44564
Shares Outstanding,29.69836
Institutions Holding Shares,150.0
FCF Growth 5yr,0.44938490738419606
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-16 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
theStreet since,2022-08-16 00:00:00
newConstructs since,
marketEdge opinion since,
