,COST
% Below High,0.1284
% Held by Institutions,0.657
52-Wk Range,['406.51 - 612.27']
Annual Dividend $,3.6
Annual Dividend %,0.0067
Ask,534.0
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.7
Bid,533.06
Bid Size,300.0
Closing Price,533.66
Day Change $,-0.83
Day Change %,-0.0016
Day High,535.86
Day Low,533.07
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",13.14
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.319
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,236.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.61
Prev Close,534.49
Short Interest,0.0105
Today's Open,534.16
Volume,744222.0
Volume 10-day Avg,1840573.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.04163393558523176
Growth 1yr High Est,0.2092330603127326
Growth 1yr Consensus Est,0.12543349794898218
Growth 2yr Low Est,0.06757413219683917
Growth 2yr High Est,0.2176091409938048
Growth 2yr Consensus Est,0.14259163659532198
Growth 5yr Low Est,0.15344448364740337
Growth 5yr High Est,0.22305682631534068
Growth 5yr Consensus Est,0.18825065498137203
Growth 5yr Actual/Est,0.16719795237699264
Growth 3yr Historic,0.11270823811817798
Price/Earnings (TTM),40.61299
Price/Sales (TTM),1.04074
Price/Book (MRQ),11.44424
Price/Cash Flow (TTM),30.22394
5yr Low,172.55
5yr High,612.27
5yr Avg Return,0.2262833333333333
EPS Growth 5yr,0.1668048
Revenue Growth 5yr,0.119574
Dividend Growth 5yr,0.1206634
Short Int Current Month,4615392.0
Short Int Prev Month,4558405.0
Short Int Pct of Float,0.010456700000000001
Days to Cover,2.20597
Float,441.6334
Shares Outstanding,442.6042
Institutions Holding Shares,3391.0
FCF Growth 5yr,0.20179104754842295
"Price/Earnings (TTM, GAAP)",40.61
"PEG Ratio (TTM, GAAP)",3.59
Gross Profit Margin (TTM),0.12150000000000001
Operating Profit Margin (TTM),0.034300000000000004
Net Profit Margin (TTM),0.026099999999999998
Annual Dividend Yield,0.0067
Dividend Change %,0.1315
"Dividend Growth Rate, 3 Years",0.11480000000000001
EPS Growth (MRQ),
EPS Growth (TTM),0.1661
Revenue Growth (MRQ),
Revenue Growth (TTM),0.1583
Return On Equity (TTM),0.3059
Return On Assets (TTM),0.0958
Return On Investment (TTM),0.1924
Revenue Per Employee (TTM),746559.0
Total Debt/Total Capital (MRQ),0.24100000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-28 00:00:00
cfra since,2020-09-26 00:00:00
ford since,2022-05-27 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-02 00:00:00
