,RLI
Price/Earnings (TTM),10.51791
Price/Sales (TTM),3.65372
Price/Book (MRQ),4.35294
Price/Cash Flow (TTM),
5yr Low,56.94
5yr High,134.81
5yr Avg Return,0.14725
EPS Growth 5yr,0.1876407
Revenue Growth 5yr,0.076311
Dividend Growth 5yr,0.0467098
Short Int Current Month,1073677.0
Short Int Prev Month,1276241.0
Short Int Pct of Float,0.0247026
Days to Cover,5.5355
Float,43.53775
Shares Outstanding,45.37817
Institutions Holding Shares,413.0
% Held by Institutions,0.811508
FCF Growth 5yr,1.0997993541096989
