,RLI
% Below High,0.0116
% Held by Institutions,0.8115000000000001
52-Wk Range,['96.22 - 134.81']
Annual Dividend $,1.04
Annual Dividend %,0.0078000000000000005
Ask,133.24
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.5
Bid,133.08
Bid Size,200.0
Day Change $,-0.485
Day Change %,-0.0036
Day High,133.95
Day Low,133.06
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",12.71
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.259
Last (size),100.0
Last (time),12:52p ET 11/28/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.52
Prev Close,133.72
Price,133.24
Short Interest,0.024700000000000003
Today's Open,133.34
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.7916666666666667
Growth 1yr High Est,0.7735849056603774
Growth 1yr Consensus Est,0.7826257861635221
Growth 2yr Low Est,0.3842054263565892
Growth 2yr High Est,0.3867924528301887
Growth 2yr Consensus Est,0.385498939593389
Growth 5yr Low Est,0.18901629342520818
Growth 5yr High Est,0.19339622641509435
Growth 5yr Consensus Est,0.19120625992015128
Growth 5yr Actual/Est,0.16722749522496155
Growth 3yr Historic,0.12549764884395237
Price/Earnings (TTM),10.51791
Price/Sales (TTM),3.65372
Price/Book (MRQ),4.35294
Price/Cash Flow (TTM),
5yr Low,56.94
5yr High,134.81
5yr Avg Return,0.14725
EPS Growth 5yr,0.1876407
Revenue Growth 5yr,0.076311
Dividend Growth 5yr,0.0467098
Short Int Current Month,1073677.0
Short Int Prev Month,1276241.0
Short Int Pct of Float,0.0247026
Days to Cover,5.5355
Float,43.53775
Shares Outstanding,45.37817
Institutions Holding Shares,413.0
FCF Growth 5yr,1.0997993541096989
"Price/Earnings (TTM, GAAP)",10.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4341
Net Profit Margin (TTM),0.3498
Annual Dividend Yield,0.0078000000000000005
Dividend Change %,0.0426
"Dividend Growth Rate, 3 Years",0.044500000000000005
EPS Growth (MRQ),195.65060000000003
EPS Growth (TTM),1.1656
Revenue Growth (MRQ),3.0334
Revenue Growth (TTM),0.4313
Return On Equity (TTM),0.4393
Return On Assets (TTM),0.12050000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),1866026.0
Total Debt/Total Capital (MRQ),0.12539999999999998
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),29.64
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-07-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
