,PAR
% Above Low,0.1655
% Held by Institutions,1.0703
52-Wk Range,['20.37 - 59.42']
Annual Dividend $,
Annual Dividend %,
Ask,23.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,23.73
Bid Size,100.0
Day Change $,-0.1192
Day Change %,-0.005
Day High,23.83
Day Low,23.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.02
Ex-dividend Date,No dividend
Historical Volatility,0.624
Last (size),967.0
Last (time),9:59a ET 11/28/22
Market Cap,647.9M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,23.86
Price,23.74
Short Interest,0.18030000000000002
Today's Open,23.53
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.08053691275167796
Growth 1yr High Est,0.03597122302158273
Growth 1yr Consensus Est,0.058254067886630345
Growth 2yr Low Est,-0.0901663262328567
Growth 2yr High Est,-0.29798661071143084
Growth 2yr Consensus Est,-0.19407646847214377
Growth 5yr Low Est,-0.0901663262328567
Growth 5yr High Est,-0.29798661071143084
Growth 5yr Consensus Est,-0.19407646847214377
Growth 5yr Actual/Est,0.1008461823083098
Growth 3yr Historic,0.18619791666666666
Price/Earnings (TTM),
Price/Sales (TTM),1.91654
Price/Book (MRQ),1.69931
Price/Cash Flow (TTM),
5yr Low,8.0
5yr High,90.35
5yr Avg Return,0.37235000000000007
EPS Growth 5yr,
Revenue Growth 5yr,0.042568999999999996
Dividend Growth 5yr,
Short Int Current Month,4674094.0
Short Int Prev Month,4734208.0
Short Int Pct of Float,0.180348
Days to Cover,9.86175
Float,25.91004
Shares Outstanding,27.28978
Institutions Holding Shares,185.0
FCF Growth 5yr,0.005070718862099717
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.24059999999999998
Operating Profit Margin (TTM),-0.1888
Net Profit Margin (TTM),-0.2398
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.12689999999999999
EPS Growth (TTM),-0.1631
Revenue Growth (MRQ),0.0902
Revenue Growth (TTM),0.30770000000000003
Return On Equity (TTM),-0.1795
Return On Assets (TTM),-0.092
Return On Investment (TTM),-0.09910000000000001
Revenue Per Employee (TTM),230023.0
Total Debt/Total Capital (MRQ),0.5037
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996
Quick Ratio (MRQ),2.94
Interest Coverage (MRQ),-8.36
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2018-08-10 00:00:00
theStreet since,2018-11-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2020-11-06 00:00:00
cfra since,
marketEdge opinion since,
