,WGO
Price/Earnings (TTM),5.00969
Price/Sales (TTM),0.36342
Price/Book (MRQ),1.41815
Price/Cash Flow (TTM),4.05532
5yr Low,16.94
5yr High,87.53
5yr Avg Return,0.13483333333333328
EPS Growth 5yr,0.38564149999999997
Revenue Growth 5yr,0.2622687
Dividend Growth 5yr,0.10534230000000001
Short Int Current Month,5848207.0
Short Int Prev Month,5290405.0
Short Int Pct of Float,0.2003086
Days to Cover,11.95796
Float,28.91072
Shares Outstanding,30.49165
Institutions Holding Shares,352.0
% Held by Institutions,1.019665
FCF Growth 5yr,21.946804617898447
