,WGO
% Above Low,0.3714
% Held by Institutions,1.0197
52-Wk Range,['43.05 - 78.88']
Annual Dividend $,1.08
Annual Dividend %,0.0183
Ask,63.0
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,1.6
Bid,50.98
Bid Size,100.0
Closing Price,59.04
Day Change $,-0.05
Day Change %,-0.0008
Day High,59.26
Day Low,58.39
Dividend Pay Date,2022-09-28 00:00:00
"EPS (TTM, GAAP)",11.8
Ex-dividend,2022-09-13 00:00:00
Ex-dividend Date,09/13/22
Historical Volatility,0.511
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.01
Prev Close,59.09
Short Interest,0.2003
Today's Open,58.66
Volume,387455.0
Volume 10-day Avg,446785.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.5419847328244275
Growth 1yr High Est,-0.36702508960573477
Growth 1yr Consensus Est,-0.45450491121508113
Growth 2yr Low Est,-0.22849236641221377
Growth 2yr High Est,-0.1908738132060384
Growth 2yr Consensus Est,-0.2096830898091261
Growth 5yr Low Est,-0.22849236641221377
Growth 5yr High Est,-0.1908738132060384
Growth 5yr Consensus Est,-0.2096830898091261
Growth 5yr Actual/Est,0.6279062605408149
Growth 3yr Historic,0.7322895416836666
Price/Earnings (TTM),5.00969
Price/Sales (TTM),0.36342
Price/Book (MRQ),1.41815
Price/Cash Flow (TTM),4.05532
5yr Low,16.94
5yr High,87.53
5yr Avg Return,0.13483333333333328
EPS Growth 5yr,0.38564149999999997
Revenue Growth 5yr,0.2622687
Dividend Growth 5yr,0.10534230000000001
Short Int Current Month,5848207.0
Short Int Prev Month,5290405.0
Short Int Pct of Float,0.2003086
Days to Cover,11.95796
Float,28.91072
Shares Outstanding,30.49165
Institutions Holding Shares,352.0
FCF Growth 5yr,21.946804617898447
"Price/Earnings (TTM, GAAP)",5.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1875
Operating Profit Margin (TTM),0.1177
Net Profit Margin (TTM),0.0788
Annual Dividend Yield,0.0183
Dividend Change %,0.4043
"Dividend Growth Rate, 3 Years",0.16260000000000002
EPS Growth (MRQ),-0.2594
EPS Growth (TTM),0.43340000000000006
Revenue Growth (MRQ),-0.19140000000000001
Revenue Growth (TTM),0.3658
Return On Equity (TTM),0.3368
Return On Assets (TTM),0.17440000000000003
Return On Investment (TTM),0.22010000000000002
Revenue Per Employee (TTM),665914.0
Total Debt/Total Capital (MRQ),0.3018
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),12.39
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-19 00:00:00
theStreet since,2022-08-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-19 00:00:00
ford since,2022-08-19 00:00:00
marketEdge opinion since,
