,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,183.9,176.94,32.36,,,,,
low,90.03,27.52,11.29,,,,,
change,0.3875,-0.7617,-0.5996,,,,,
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,167.0,205.0,340.0,222.0,Balance Sheet
Short Term Investments,,,,803.0,764.0,621.0,685.0,Balance Sheet
Cash and Short Term Invs,,,,970.0,969.0,960.0,907.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,27.0,68.0,80.0,81.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,27.0,68.0,80.0,81.0,Balance Sheet
Prepaid Expenses,,,,19.0,26.0,20.0,13.0,Balance Sheet
Restricted Cash - Current,,,,,,,0.0,Balance Sheet
Other Current Assets,,,,,,,5.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,5.0,Balance Sheet
Total Current Assets,,,,1016.0,1063.0,1060.0,1007.0,Balance Sheet
Buildings,,,,9.0,9.0,9.0,9.0,Balance Sheet
Machinery/Equipment,,,,4.0,4.0,3.0,4.0,Balance Sheet
Construction in Progress,,,,0.0,1.0,11.0,36.0,Balance Sheet
Other Prop./Plant/Equip.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,13.0,14.0,24.0,49.0,Balance Sheet
Accumulated Depreciation,,,,-8.0,-9.0,-9.0,-10.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,5.0,5.0,15.0,39.0,Balance Sheet
"Goodwill, Net",,,,1.0,1.0,1.0,1.0,Balance Sheet
Long Term Investments,,,,102.0,54.0,32.0,31.0,Balance Sheet
Deferred Charges,,,,,,,15.0,Balance Sheet
Restricted Cash - LT,,,,13.0,13.0,13.0,13.0,Balance Sheet
Other Long Term Assets,,,,28.0,52.0,51.0,33.0,Balance Sheet
Total Assets,,,,1165.0,1188.0,1171.0,1137.0,Balance Sheet
Accounts Payable,,,,10.0,14.0,54.0,41.0,Balance Sheet
Accrued Expenses,,,,50.0,56.0,47.0,47.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,72.0,59.0,49.0,44.0,Balance Sheet
Total Current Liabilities,,,,132.0,129.0,150.0,131.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,6.0,32.0,31.0,27.0,Balance Sheet
Total Liabilities,,,,138.0,161.0,181.0,158.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1470.0,1510.0,1533.0,1594.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-444.0,-483.0,-541.0,-613.0,Balance Sheet
"Other Equity, Total",,,,0.0,-1.0,-2.0,-2.0,Balance Sheet
Total Equity,,,,1027.0,1027.0,989.0,979.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1165.0,1188.0,1171.0,1137.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,101.0,103.0,103.0,105.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,3.0,3.0,3.0,3.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,105.0,106.0,106.0,108.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,58263.0,69773.0,72317.0,65308.0,Income Statement
"Cost of Revenue, Total",,,,15971.0,17354.0,17363.0,18406.0,Income Statement
Selling/Gen/Admin Expense,,,,42210.0,43722.0,46344.0,38164.0,Income Statement
Labor & Related Expense,,,,19235.0,15172.0,18755.0,26070.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,61445.0,58894.0,65099.0,64234.0,Income Statement
Research & Development,,,,36523.0,40931.0,46378.0,55877.0,Income Statement
Total Operating Expense,,,,113939.0,117179.0,128840.0,138517.0,Income Statement
Total Operating Income,,,,-55676.0,-47406.0,-56523.0,-73209.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,322.0,410.0,750.0,2538.0,Income Statement
