,AI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.15,9.39,Valuation,0.5484558040468583
Price/Book (MRQ),1.4,12.63,Valuation,0.11084718923198732
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7399,0.7206,Profitability,1.0267832361920621
Operating Profit Margin (TTM),-0.8764000000000001,0.2172,Profitability,-4.0349907918968695
Net Profit Margin (TTM),-0.8525,0.1553,Profitability,-5.4893754024468775
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.22160000000000002,-0.0752,Gowth rates,2.946808510638298
EPS Growth (TTM),-1.3691,-0.2824,Gowth rates,4.848087818696884
Revenue Growth (MRQ),-0.0969,0.15560000000000002,Gowth rates,-0.6227506426735218
Revenue Growth (TTM),0.3614,0.1906,Gowth rates,1.896117523609654
Return On Equity (TTM),-0.22390000000000002,0.2189,Effectiveness,-1.0228414801279122
Return On Assets (TTM),-0.1945,0.10740000000000001,Effectiveness,-1.8109869646182495
Return On Investment (TTM),-0.2202,0.1387,Effectiveness,-1.58759913482336
Revenue Per Employee (TTM),377359.0,667721.0,Effectiveness,0.5651447236195956
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
