,AI
% Above Low,0.1169
% Held by Institutions,0.4268
52-Wk Range,['11.29 - 39.36']
Annual Dividend $,
Annual Dividend %,
Ask,12.95
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,
Bid,11.87
Bid Size,300.0
Closing Price,12.61
Day Change $,-0.08
Day Change %,-0.0063
Day High,12.71
Day Low,12.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.15
Ex-dividend Date,No dividend
Historical Volatility,0.795
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.69
Short Interest,0.10300000000000001
Today's Open,12.57
Volume,341813.0
Volume 10-day Avg,1335602.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1428571428571429
Growth 2yr High Est,-0.967741935483871
Growth 2yr Consensus Est,-0.5552995391705069
Growth 5yr Low Est,-0.1428571428571429
Growth 5yr High Est,-0.967741935483871
Growth 5yr Consensus Est,-0.5552995391705069
Growth 5yr Actual/Est,0.21630624158801728
Growth 3yr Historic,0.36190476190476195
Price/Earnings (TTM),
Price/Sales (TTM),5.14924
Price/Book (MRQ),1.39555
Price/Cash Flow (TTM),
5yr Low,11.29
5yr High,183.9
5yr Avg Return,-0.3246
Short Int Current Month,9354689.0
Short Int Prev Month,10446822.0
Short Int Pct of Float,0.1030211
Days to Cover,6.66315
Float,90.86507
Shares Outstanding,108.4815
Institutions Holding Shares,286.0
FCF Growth 5yr,0.8782375618808015
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7399
Operating Profit Margin (TTM),-0.8764000000000001
Net Profit Margin (TTM),-0.8525
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.22160000000000002
EPS Growth (TTM),-1.3691
Revenue Growth (MRQ),-0.0969
Revenue Growth (TTM),0.3614
Return On Equity (TTM),-0.22390000000000002
Return On Assets (TTM),-0.1945
Return On Investment (TTM),-0.2202
Revenue Per Employee (TTM),377359.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-03-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
