,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.5,45.62,87.23,95.12,19.66,,,,,
low,16.14,17.99,17.72,14.02,6.81,,,,,
change,-0.4238,1.181,1.0599,-0.8016,-0.3816,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,4496.0,4170.0,3787.0,2343.0,Balance Sheet
Short Term Investments,,,,,,1993.0,2524.0,2488.0,2716.0,Balance Sheet
Cash and Short Term Invs,,,,,,6489.0,6694.0,6275.0,5059.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,19302.0,18426.0,17653.0,18861.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-15.0,-14.0,-18.0,-19.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,20173.0,19071.0,18158.0,19311.0,Balance Sheet
Other Receivables,,,,,,215.0,203.0,211.0,144.0,Balance Sheet
"Total Receivables, Net",,,,,,20388.0,19274.0,18369.0,19456.0,Balance Sheet
Prepaid Expenses,,,,,,170.0,147.0,125.0,109.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,2899.0,2802.0,3167.0,3376.0,Balance Sheet
Total Current Assets,,,,,,29944.0,28917.0,27936.0,28000.0,Balance Sheet
Machinery/Equipment,,,,,,316.0,301.0,302.0,314.0,Balance Sheet
Construction in Progress,,,,,,14.0,16.0,30.0,37.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,1888.0,2084.0,2213.0,2256.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,2218.0,2401.0,2545.0,2607.0,Balance Sheet
Accumulated Depreciation,,,,,,-648.0,-759.0,-864.0,-964.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,1570.0,1642.0,1681.0,1643.0,Balance Sheet
"Goodwill, Net",,,,,,5591.0,5774.0,5788.0,5782.0,Balance Sheet
Intangibles - Gross,,,,,,3231.0,3079.0,3430.0,3514.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-545.0,-407.0,-631.0,-697.0,Balance Sheet
Intangibles - Net,,,,,,2686.0,2672.0,2799.0,2817.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,66.0,66.0,67.0,73.0,Balance Sheet
LT Investments - Other,,,,,,1238.0,915.0,221.0,330.0,Balance Sheet
Long Term Investments,,,,,,1305.0,981.0,288.0,403.0,Balance Sheet
Note Rcvble - Long Term,,,,,,64.0,62.0,88.0,90.0,Balance Sheet
Deferred Charges,,,,,,214.0,168.0,144.0,128.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,580.0,498.0,660.0,743.0,Balance Sheet
Other Long Term Assets,,,,,,142.0,141.0,128.0,124.0,Balance Sheet
Total Assets,,,,,,42097.0,40855.0,39513.0,39729.0,Balance Sheet
Accounts Payable,,,,,,16096.0,15344.0,395.0,15220.0,Balance Sheet
Accrued Expenses,,,,,,273.0,354.0,384.0,466.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,3874.0,4439.0,3399.0,2501.0,Balance Sheet
Security Deposits,,,,,,2202.0,2368.0,2705.0,2945.0,Balance Sheet
Income Taxes Payable,,,,,,176.0,203.0,235.0,303.0,Balance Sheet
Other Current Liabilities,,,,,,169.0,574.0,369.0,636.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,2547.0,3145.0,3309.0,3883.0,Balance Sheet
Total Current Liabilities,,,,,,22790.0,23281.0,7487.0,22070.0,Balance Sheet
Total Long Term Debt,,,,,,4489.0,3144.0,3395.0,3453.0,Balance Sheet
Total Debt,,,,,,8362.0,7583.0,6794.0,5954.0,Balance Sheet
Deferred Income Tax,,,,,,630.0,486.0,565.0,579.0,Balance Sheet
Minority Interest,,,,,,91.0,114.0,86.0,80.0,Balance Sheet
Reserves,,,,,,182.0,181.0,189.0,199.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,33.0,22.0,18.0,27.0,Balance Sheet
Other LT Liabilities,,,,,,347.0,358.0,15203.0,639.0,Balance Sheet
"Other Liabilities, Total",,,,,,561.0,561.0,15410.0,865.0,Balance Sheet
Total Liabilities,,,,,,28561.0,27586.0,26943.0,27047.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,14637.0,13634.0,13043.0,13157.0,Balance Sheet
Treasury Stock - Common,,,,,,-1065.0,-192.0,-192.0,-69.0,Balance Sheet
"Other Equity, Total",,,,,,-36.0,-174.0,-282.0,-405.0,Balance Sheet
Total Equity,,,,,,13536.0,13269.0,12570.0,12683.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,42097.0,40855.0,39513.0,39729.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,266.0,281.0,281.0,281.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,46.0,32.0,32.0,32.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,313.0,313.0,313.0,313.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,4.0,1.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,3179.0,2070.0,2304.0,2508.0,Income Statement
"Cost of Revenue, Total",,,,,,646.0,674.0,626.0,671.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,516.0,561.0,528.0,603.0,Income Statement
Depreciation/Amortization,,,,,,12.0,61.0,80.0,66.0,Income Statement
Unusual Expense (Income),,,,,,11.0,,,,Income Statement
"Other Operat Expse, Total",,,,,,44.0,32.0,70.0,91.0,Income Statement
Total Operating Expense,,,,,,1230.0,1328.0,1304.0,1432.0,Income Statement
Total Operating Income,,,,,,1949.0,742.0,1000.0,1077.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-171.0,-169.0,-187.0,-154.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,-2589.0,-863.0,-1296.0,-676.0,Income Statement
Income Before Tax,,,,,,-810.0,-290.0,-483.0,247.0,Income Statement
Income Tax - Total,,,,,,-9.0,23.0,6.0,49.0,Income Statement
Income After Tax,,,,,,-801.0,-313.0,-489.0,197.0,Income Statement
Minority Interest,,,,,,7.0,0.0,2.0,5.0,Income Statement
Net Inc Before Extra Items,,,,,,-795.0,-313.0,-487.0,202.0,Income Statement
Total Net Income,,,,,,-795.0,-313.0,-487.0,202.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-795.0,-313.0,-487.0,202.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-795.0,-313.0,-487.0,202.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,309.0,310.0,312.0,312.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-2.57,-1.01,-1.56,0.65,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-2.57,-1.01,-1.56,0.65,Income Statement
Diluted Weighted Average Shares,,,,,,309.0,310.0,312.0,324.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-2.57,-1.01,-1.56,0.62,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-2.57,-1.01,-1.56,0.62,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,171.0,169.0,187.0,154.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,99.0,118.0,128.0,132.0,Income Statement
Total Special Items,,,,,,11.0,,,,Income Statement
Normalzd Income Before Tax,,,,,,-799.0,-290.0,-483.0,247.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,4.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-5.0,23.0,6.0,49.0,Income Statement
Normalized Income After Tax,,,,,,-794.0,-313.0,-489.0,197.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-787.0,-313.0,-487.0,202.0,Income Statement
Basic Normalized EPS,,,,,,-2.55,-1.01,-1.56,0.65,Income Statement
Diluted Normalized EPS,,,,,,-2.55,-1.01,-1.56,0.62,Income Statement
