,STNE
% Above Low,0.5451
% Held by Institutions,0.6667000000000001
52-Wk Range,['6.81 - 19.66']
Annual Dividend $,
Annual Dividend %,
Ask,10.53
Ask Size,2300.0
B/A Ratio,2.347826086956522
B/A Size,5400x2300
Beta,2.1
Bid,10.52
Bid Size,5400.0
Day Change $,0.215
Day Change %,0.0209
Day High,11.05
Day Low,10.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.84
Ex-dividend Date,No dividend
Historical Volatility,0.981
Last (size),100.0
Last (time),3:31p ET 11/28/22
Market Cap,3.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.31
Price,10.53
Short Interest,0.0507
Today's Open,10.77
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-2.1016949152542375
Growth 1yr High Est,-0.5
Growth 1yr Consensus Est,-1.3008474576271187
Growth 2yr Low Est,-1.866232073011734
Growth 2yr High Est,0.3088235294117645
Growth 2yr Consensus Est,-0.7787042717999848
Growth 5yr Low Est,-0.9753695576326277
Growth 5yr High Est,0.1223604826546002
Growth 5yr Consensus Est,-0.4265045374890137
Growth 5yr Actual/Est,0.49950049950049946
Growth 3yr Historic,-0.23896103896103896
Price/Earnings (TTM),
Price/Sales (TTM),1.73109
Price/Book (MRQ),1.3758
Price/Cash Flow (TTM),
5yr Low,6.81
5yr High,95.12
5yr Avg Return,0.12677999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.6936235000000001
Dividend Growth 5yr,
Short Int Current Month,12365616.0
Short Int Prev Month,16020915.0
Short Int Pct of Float,0.0506768
Days to Cover,1.95207
Float,247.0833
Shares Outstanding,312.2975
Institutions Holding Shares,338.0
FCF Growth 5yr,-0.04145536950808182
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7398
Operating Profit Margin (TTM),0.47380000000000005
Net Profit Margin (TTM),-0.1398
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4001
EPS Growth (TTM),-4.2134
Revenue Growth (MRQ),0.08869999999999999
Revenue Growth (TTM),1.554
Return On Equity (TTM),-0.1027
Return On Assets (TTM),-0.0354
Return On Investment (TTM),-0.0752
Revenue Per Employee (TTM),120114.0
Total Debt/Total Capital (MRQ),0.3181
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.3
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-09-10 00:00:00
theStreet since,2021-10-14 00:00:00
ford since,2022-03-11 00:00:00
cfra since,
marketEdge opinion since,
