,BL
% Above Low,0.2945
% Held by Institutions,0.9667
52-Wk Range,['48.73 - 113.39']
Annual Dividend $,
Annual Dividend %,
Ask,63.51
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,62.65
Bid Size,100.0
Closing Price,63.08
Day Change $,-0.06
Day Change %,-0.001
Day High,63.84
Day Low,61.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.31
Ex-dividend Date,No dividend
Historical Volatility,0.593
Last (size),292.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,63.14
Short Interest,0.08310000000000001
Today's Open,62.94
Volume,102464.0
Volume 10-day Avg,412003.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.38636363636363635
Growth 2yr High Est,0.574468085106383
Growth 2yr Consensus Est,0.09405222437137334
Growth 5yr Low Est,-0.38636363636363635
Growth 5yr High Est,0.574468085106383
Growth 5yr Consensus Est,0.09405222437137334
Growth 5yr Actual/Est,0.15754359662274128
Growth 3yr Historic,0.1657894736842105
Price/Earnings (TTM),
Price/Sales (TTM),7.56707
Price/Book (MRQ),48.38473
Price/Cash Flow (TTM),
5yr Low,31.53
5yr High,154.61
5yr Avg Return,0.22293333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.2716187
Dividend Growth 5yr,
Short Int Current Month,4097436.0
Short Int Prev Month,3981682.0
Short Int Pct of Float,0.0830517
Days to Cover,5.22524
Float,55.08454
Shares Outstanding,59.77687
Institutions Holding Shares,369.0
FCF Growth 5yr,-0.575491759702286
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7512000000000001
Operating Profit Margin (TTM),-0.1518
Net Profit Margin (TTM),-0.1543
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8691
EPS Growth (TTM),0.1996
Revenue Growth (MRQ),0.0451
Revenue Growth (TTM),0.22710000000000002
Return On Equity (TTM),-0.3712
Return On Assets (TTM),-0.0424
Return On Investment (TTM),-0.051100000000000007
Revenue Per Employee (TTM),320043.0
Total Debt/Total Capital (MRQ),0.9311
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-02-14 00:00:00
ford since,2021-12-10 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-02-14 00:00:00
marketEdge opinion since,
