,PAYC
% Above Low,0.27640000000000003
% Held by Institutions,0.7993000000000001
52-Wk Range,['255.82 - 450.30']
Annual Dividend $,
Annual Dividend %,
Ask,326.89
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,326.04
Bid Size,200.0
Day Change $,-0.58
Day Change %,-0.0018
Day High,331.33
Day Low,323.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.3
Ex-dividend Date,No dividend
Historical Volatility,0.532
Last (size),1.0
Last (time),10:07a ET 11/28/22
Market Cap,19.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",76.03
Prev Close,327.1
Price,326.52
Short Interest,0.0248
Today's Open,323.84
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.31065759637188206
Growth 1yr High Est,0.32079646017699126
Growth 1yr Consensus Est,0.31572702827443666
Growth 2yr Low Est,0.26605544178455687
Growth 2yr High Est,0.3212022501889982
Growth 2yr Consensus Est,0.2936288459867775
Growth 5yr Low Est,0.20707679800112783
Growth 5yr High Est,0.23801708098175167
Growth 5yr Consensus Est,0.22254693949143975
Growth 5yr Actual/Est,0.21173182675163213
Growth 3yr Historic,0.0702026197298404
Price/Earnings (TTM),76.03122
Price/Sales (TTM),14.67756
Price/Book (MRQ),17.58514
Price/Cash Flow (TTM),56.1652
5yr Low,75.39
5yr High,558.97
5yr Avg Return,0.34745
EPS Growth 5yr,0.23227499999999998
Revenue Growth 5yr,0.2624588
Dividend Growth 5yr,
Short Int Current Month,1207600.0
Short Int Prev Month,1255721.0
Short Int Pct of Float,0.0248082
Days to Cover,2.02981
Float,48.67638
Shares Outstanding,57.86646
Institutions Holding Shares,917.0
FCF Growth 5yr,0.027520949235818753
"Price/Earnings (TTM, GAAP)",76.03
"PEG Ratio (TTM, GAAP)",2.89
Gross Profit Margin (TTM),0.8448000000000001
Operating Profit Margin (TTM),0.26480000000000004
Net Profit Margin (TTM),0.19399999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0902
EPS Growth (TTM),0.4598
Revenue Growth (MRQ),0.054400000000000004
Revenue Growth (TTM),0.3007
Return On Equity (TTM),0.2631
Return On Assets (TTM),0.0664
Return On Investment (TTM),0.1963
Revenue Per Employee (TTM),239479.0
Total Debt/Total Capital (MRQ),0.0262
Change in Debt/Total Capital Quarter over Quarter,0.0025
Quick Ratio (MRQ),1.17
Interest Coverage (MRQ),72.95
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-05-03 00:00:00
theStreet since,2022-05-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-03 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
