,BMRN
% Below High,0.028300000000000002
% Held by Institutions,0.9889
52-Wk Range,['70.73 - 99.74']
Annual Dividend $,
Annual Dividend %,
Ask,98.5
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,0.4
Bid,90.0
Bid Size,1000.0
Closing Price,96.92
Day Change $,-0.87
Day Change %,-0.0089
Day High,98.43
Day Low,96.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.39
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,18.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",245.49
Prev Close,97.79
Short Interest,0.053200000000000004
Today's Open,97.46
Volume,727779.0
Volume 10-day Avg,1514489.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.1818181818181819
Growth 2yr High Est,2.473684210526316
Growth 2yr Consensus Est,0.645933014354067
Growth 5yr Low Est,-1.1818181818181819
Growth 5yr High Est,2.473684210526316
Growth 5yr Consensus Est,0.645933014354067
Growth 5yr Actual/Est,-9.63031300928652
Growth 3yr Historic,-9.230854134827645
Price/Earnings (TTM),245.4852
Price/Sales (TTM),8.96897
Price/Book (MRQ),3.94222
Price/Cash Flow (TTM),98.21737
5yr Low,62.88
5yr High,131.95
5yr Avg Return,0.030966666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.1057578
Dividend Growth 5yr,
Short Int Current Month,9815606.0
Short Int Prev Month,11267840.0
Short Int Pct of Float,0.053205
Days to Cover,6.73639
Float,184.478
Shares Outstanding,185.8489
Institutions Holding Shares,816.0
FCF Growth 5yr,-1.4413853086284358
"Price/Earnings (TTM, GAAP)",245.49
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7629000000000001
Operating Profit Margin (TTM),0.053899999999999997
Net Profit Margin (TTM),0.0398
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.2429000000000001
EPS Growth (TTM),2.5627999999999997
Revenue Growth (MRQ),-0.0533
Revenue Growth (TTM),0.0864
Return On Equity (TTM),0.0181
Return On Assets (TTM),0.0131
Return On Investment (TTM),0.0143
Revenue Per Employee (TTM),659544.0
Total Debt/Total Capital (MRQ),0.1915
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),3.54
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-10-22 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-28 00:00:00
