,BMRN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",245.49,471.78,Valuation,0.520348467506041
Price/Sales (TTM),8.97,45.03,Valuation,0.19920053297801465
Price/Book (MRQ),3.94,12.61,Valuation,0.31245043616177637
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7629000000000001,0.5874,Profitability,1.2987742594484168
Operating Profit Margin (TTM),0.053899999999999997,-4.7459,Profitability,-0.011357171453254388
Net Profit Margin (TTM),0.0398,-4.5467,Profitability,-0.008753601513185386
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-1.2429000000000001,-0.0014000000000000002,Gowth rates,887.7857142857142
EPS Growth (TTM),2.5627999999999997,0.027200000000000002,Gowth rates,94.2205882352941
Revenue Growth (MRQ),-0.0533,1.3963999999999999,Gowth rates,-0.0381695789172157
Revenue Growth (TTM),0.0864,0.9747,Gowth rates,0.0886426592797784
Return On Equity (TTM),0.0181,0.1967,Effectiveness,0.0920183019827148
Return On Assets (TTM),0.0131,0.0016,Effectiveness,8.1875
Return On Investment (TTM),0.0143,0.0219,Effectiveness,0.6529680365296804
Revenue Per Employee (TTM),659544.0,1476201.0,Effectiveness,0.4467846858253043
Total Debt/Total Capital (MRQ),0.1915,0.4675,Financial strength,0.40962566844919784
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0036,Financial strength,-0.11111111111111112
Quick Ratio (MRQ),3.54,2.06,Financial strength,1.7184466019417475
Interest Coverage (MRQ),,2.69,Financial strength,
