,HAS
% Above Low,0.126
% Held by Institutions,0.8395
52-Wk Range,['55.15 - 105.73']
Annual Dividend $,2.8
Annual Dividend %,0.0451
Ask,62.3
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,0.8
Bid,61.02
Bid Size,100.0
Closing Price,62.1
Day Change $,-0.06
Day Change %,-0.001
Day High,62.72
Day Low,62.08
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.98
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.33
Last (size),51.0
Last (time),1:00p ET 11/25/22
Market Cap,8.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.81
Prev Close,62.16
Short Interest,0.0447
Today's Open,62.17
Volume,509859.0
Volume 10-day Avg,1851273.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.2857142857142858
Growth 1yr High Est,0.3042328042328042
Growth 1yr Consensus Est,0.294973544973545
Growth 2yr Low Est,0.11285714285714293
Growth 2yr High Est,0.2241245157066658
Growth 2yr Consensus Est,0.16849082928190437
Growth 5yr Low Est,0.07523809523809528
Growth 5yr High Est,0.14941634380444388
Growth 5yr Consensus Est,0.11232721952126958
Growth 5yr Actual/Est,0.08257142097179829
Growth 3yr Historic,0.07876559714795012
Price/Earnings (TTM),20.81092
Price/Sales (TTM),1.38524
Price/Book (MRQ),2.88189
Price/Cash Flow (TTM),12.88591
5yr Low,41.33
5yr High,126.87
5yr Avg Return,-0.041100000000000005
EPS Growth 5yr,-0.04876490000000001
Revenue Growth 5yr,0.0504485
Dividend Growth 5yr,0.0644939
Short Int Current Month,5691468.0
Short Int Prev Month,5411607.0
Short Int Pct of Float,0.044685699999999995
Days to Cover,3.18339
Float,127.428
Shares Outstanding,138.1137
Institutions Holding Shares,896.0
FCF Growth 5yr,-0.13867006381122896
"Price/Earnings (TTM, GAAP)",20.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5837
Operating Profit Margin (TTM),0.11380000000000001
Net Profit Margin (TTM),0.06730000000000001
Annual Dividend Yield,0.0451
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.034100000000000005
EPS Growth (MRQ),-0.0855
EPS Growth (TTM),-0.1598
Revenue Growth (MRQ),0.2514
Revenue Growth (TTM),0.0101
Return On Equity (TTM),0.1383
Return On Assets (TTM),0.04190000000000001
Return On Investment (TTM),0.0556
Revenue Per Employee (TTM),932470.0
Total Debt/Total Capital (MRQ),0.5697
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),5.7
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-04-20 00:00:00
researchTeam since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-07-23 00:00:00
ford since,2022-04-01 00:00:00
marketEdge opinion since,
