,ITOS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.93,471.78,Valuation,0.006210521853406249
Price/Sales (TTM),1.56,45.03,Valuation,0.034643570952698204
Price/Book (MRQ),1.12,12.61,Valuation,0.08881839809674863
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),0.7099,-4.7459,Profitability,-0.1495817442423987
Net Profit Margin (TTM),0.5748,-4.5467,Profitability,-0.12642136054721004
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.8239000000000001,-0.0014000000000000002,Gowth rates,588.5
EPS Growth (TTM),22.175500000000003,0.027200000000000002,Gowth rates,815.2757352941177
Revenue Growth (MRQ),-0.5329,1.3963999999999999,Gowth rates,-0.38162417645373825
Revenue Growth (TTM),3.3562000000000003,0.9747,Gowth rates,3.443315892069355
Return On Equity (TTM),0.5189,0.1967,Effectiveness,2.638027452974072
Return On Assets (TTM),0.30710000000000004,0.0016,Effectiveness,191.93750000000003
Return On Investment (TTM),0.49060000000000004,0.0219,Effectiveness,22.40182648401827
Revenue Per Employee (TTM),4832224.0,1476201.0,Effectiveness,3.2734187282084215
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
