,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,34.84,49.0,52.43,,,,,
low,17.5,17.43,16.21,,,,,
change,0.3237,0.36060000000000003,-0.616,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,849.0,824.0,792.0,752.0,Balance Sheet
"Total Receivables, Net",,,,12.0,5.0,4.0,5.0,Balance Sheet
Prepaid Expenses,,,,14.0,12.0,9.0,12.0,Balance Sheet
Total Current Assets,,,,875.0,841.0,805.0,769.0,Balance Sheet
Buildings,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Prop./Plant/Equip.,,,,9.0,9.0,9.0,9.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,10.0,11.0,10.0,10.0,Balance Sheet
Accumulated Depreciation,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,7.0,7.0,7.0,7.0,Balance Sheet
Note Rcvble - Long Term,,,,2.0,2.0,2.0,2.0,Balance Sheet
Other Long Term Assets,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Assets,,,,885.0,850.0,815.0,778.0,Balance Sheet
Accounts Payable,,,,5.0,11.0,11.0,10.0,Balance Sheet
Accrued Expenses,,,,18.0,15.0,15.0,12.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,281.0,129.0,87.0,67.0,Balance Sheet
Income Taxes Payable,,,,,20.0,13.0,5.0,Balance Sheet
"Other Curr. Lblts, Total",,,,281.0,149.0,100.0,72.0,Balance Sheet
Total Current Liabilities,,,,304.0,174.0,125.0,94.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,28.0,50.0,52.0,50.0,Balance Sheet
Total Liabilities,,,,332.0,224.0,177.0,144.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,413.0,418.0,424.0,429.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,141.0,210.0,216.0,217.0,Balance Sheet
"Other Equity, Total",,,,-1.0,-2.0,-2.0,-12.0,Balance Sheet
Total Equity,,,,553.0,626.0,637.0,634.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,885.0,850.0,815.0,778.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,35.0,36.0,36.0,36.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,240504.0,152522.0,41716.0,19487.0,Income Statement
Selling/Gen/Admin Expense,,,,6139.0,7030.0,6859.0,6164.0,Income Statement
Labor & Related Expense,,,,3459.0,3585.0,4612.0,4596.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,9598.0,10615.0,11471.0,10760.0,Income Statement
Research & Development,,,,17386.0,21096.0,26910.0,23932.0,Income Statement
Total Operating Expense,,,,26984.0,31711.0,38381.0,34692.0,Income Statement
Total Operating Income,,,,213520.0,120811.0,3335.0,-15205.0,Income Statement
"Other, Net",,,,10524.0,-1278.0,5108.0,13219.0,Income Statement
Income Before Tax,,,,224044.0,119533.0,8443.0,-1986.0,Income Statement
Income Tax - Total,,,,39172.0,49951.0,2817.0,-2977.0,Income Statement
Income After Tax,,,,184872.0,69582.0,5626.0,991.0,Income Statement
Net Inc Before Extra Items,,,,184872.0,69582.0,5626.0,991.0,Income Statement
Total Net Income,,,,184872.0,69582.0,5626.0,991.0,Income Statement
Preferred Dividends,,,,0.0,,,,Income Statement
Misc Earnings Adjustment,,,,0.0,,,,Income Statement
Total Adjust to Net Income,,,,0.0,,,,Income Statement
Income Available to Common Excl. Extra. Items,,,,184872.0,69582.0,5626.0,991.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,184872.0,69582.0,5626.0,991.0,Income Statement
Basic/Primary Weighted Average Shares,,,,35321.0,35493.0,35547.0,35575.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,5.23,1.96,0.16,0.03,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,5.23,1.96,0.16,0.03,Income Statement
Diluted Weighted Average Shares,,,,38482.0,38136.0,37636.0,37656.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,4.8,1.82,0.15,0.03,Income Statement
Diluted EPS Incl. Extra. Items,,,,4.8,1.82,0.15,0.03,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,151.0,200.0,200.0,205.0,Income Statement
Normalzd Income Before Tax,,,,224044.0,119533.0,8443.0,-1986.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,39172.0,49951.0,2817.0,-2977.0,Income Statement
Normalized Income After Tax,,,,184872.0,69582.0,5626.0,991.0,Income Statement
Normalzd Inc Avail to Common,,,,184872.0,69582.0,5626.0,991.0,Income Statement
Basic Normalized EPS,,,,5.23,1.96,0.16,0.03,Income Statement
Diluted Normalized EPS,,,,4.8,1.82,0.15,0.03,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,215.0,70.0,75.0,76.0,Cash Flow
Depreciation/Depletion,,,,1.0,0.0,0.0,1.0,Cash Flow
Unusual Items,,,,0.0,,,,Cash Flow
Other Non-Cash Items,,,,14.0,4.0,10.0,16.0,Cash Flow
Non-Cash Items,,,,14.0,4.0,10.0,16.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,32.0,0.0,-7.0,14.0,Cash Flow
Accounts Receivable,,,,-3.0,0.0,0.0,-1.0,Cash Flow
Prepaid Expenses,,,,-12.0,2.0,4.0,1.0,Cash Flow
Accounts Payable,,,,2.0,5.0,6.0,5.0,Cash Flow
Accrued Expenses,,,,10.0,-3.0,-2.0,-4.0,Cash Flow
Changes in Working Capital,,,,284.0,-98.0,-140.0,-176.0,Cash Flow
Total Cash from Operations,,,,513.0,-24.0,-54.0,-84.0,Cash Flow
Total Cash from Investing,,,,-1.0,0.0,-1.0,-1.0,Cash Flow
Financing Cash Flow Items,,,,1.0,,,,Cash Flow
"Common Stock, Net",,,,0.0,,,,Cash Flow
"Preferred Stock, Net",,,,0.0,,,,Cash Flow
Options Exercised,,,,3.0,0.0,1.0,1.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,3.0,0.0,1.0,1.0,Cash Flow
Total Cash From Financing,,,,4.0,0.0,1.0,1.0,Cash Flow
Foreign Exchange Effects,,,,-3.0,-1.0,-2.0,-12.0,Cash Flow
Net Change in Cash,,,,512.0,-25.0,-57.0,-96.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,336.0,849.0,849.0,849.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,849.0,824.0,792.0,752.0,Cash Flow
"Depreciation, Supplemental",,,,1.0,0.0,0.0,1.0,Cash Flow
Free Cash Flow,,,,,,,,
FCF Growth,,,,,,,,
