,ITOS
% Above Low,0.2295
% Held by Institutions,1.0353
52-Wk Range,['16.21 - 52.43']
Annual Dividend $,
Annual Dividend %,
Ask,31.64
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,17.5
Bid Size,100.0
Closing Price,19.93
Day Change $,-0.23
Day Change %,-0.011399999999999999
Day High,20.17
Day Low,19.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.8
Ex-dividend Date,No dividend
Historical Volatility,0.7090000000000001
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,709.0M
"P/E Ratio (TTM, GAAP)",2.93
Prev Close,20.16
Short Interest,0.0527
Today's Open,20.17
Volume,70000.0
Volume 10-day Avg,293218.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.673003802281369
Growth 2yr High Est,-1.5827338129496402
Growth 2yr Consensus Est,-2.1278688076155046
Growth 5yr Low Est,-2.673003802281369
Growth 5yr High Est,-1.5827338129496402
Growth 5yr Consensus Est,-2.1278688076155046
Growth 5yr Actual/Est,-1.8898781301328553
Growth 3yr Historic,-0.9907407407407408
Price/Earnings (TTM),2.92892
Price/Sales (TTM),1.56092
Price/Book (MRQ),1.11797
Price/Cash Flow (TTM),2.70796
5yr Low,16.21
5yr High,52.43
5yr Avg Return,0.022766666666666685
Short Int Current Month,1870176.0
Short Int Prev Month,2019463.0
Short Int Pct of Float,0.052709400000000003
Days to Cover,7.37509
Float,35.48086
Shares Outstanding,35.57532
Institutions Holding Shares,223.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",2.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.7099
Net Profit Margin (TTM),0.5748
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8239000000000001
EPS Growth (TTM),22.175500000000003
Revenue Growth (MRQ),-0.5329
Revenue Growth (TTM),3.3562000000000003
Return On Equity (TTM),0.5189
Return On Assets (TTM),0.30710000000000004
Return On Investment (TTM),0.49060000000000004
Revenue Per Employee (TTM),4832224.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-06-24 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
