,CELH
% Below High,0.0757
% Held by Institutions,0.5518
52-Wk Range,['38.31 - 118.19']
Annual Dividend $,
Annual Dividend %,
Ask,109.41
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.9
Bid,108.0
Bid Size,100.0
Closing Price,109.24
Day Change $,5.32
Day Change %,0.0512
Day High,110.54
Day Low,103.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.3
Ex-dividend Date,No dividend
Historical Volatility,0.8570000000000001
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,8.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,103.92
Short Interest,0.20329999999999998
Today's Open,103.75
Volume,1144553.0
Volume 10-day Avg,1495472.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.2342007434944238
Growth 2yr High Est,-1.7401960784313726
Growth 2yr Consensus Est,-1.4871984109628982
Growth 5yr Low Est,-1.2342007434944238
Growth 5yr High Est,-1.7401960784313726
Growth 5yr Consensus Est,-1.4871984109628982
Growth 5yr Actual/Est,-12.921926652892562
Growth 3yr Historic,-0.21448863636363635
Price/Earnings (TTM),
Price/Sales (TTM),14.35922
Price/Book (MRQ),140.0501
Price/Cash Flow (TTM),
5yr Low,3.05
5yr High,118.19
5yr Avg Return,1.7304833333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.6905296
Dividend Growth 5yr,
Short Int Current Month,8897017.0
Short Int Prev Month,8024589.0
Short Int Pct of Float,0.20330459999999997
Days to Cover,6.4576
Float,43.80942
Shares Outstanding,76.2252
Institutions Holding Shares,371.0
FCF Growth 5yr,2.04
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40270000000000006
Operating Profit Margin (TTM),-0.2371
Net Profit Margin (TTM),-0.2921
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-22.0565
EPS Growth (TTM),-20.9542
Revenue Growth (MRQ),0.22210000000000002
Revenue Growth (TTM),1.3604
Return On Equity (TTM),-1.355
Return On Assets (TTM),-0.20879999999999999
Return On Investment (TTM),-0.26940000000000003
Revenue Per Employee (TTM),2577312.0
Total Debt/Total Capital (MRQ),0.0003
Change in Debt/Total Capital Quarter over Quarter,-0.0076
Quick Ratio (MRQ),3.22
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-11-11 00:00:00
newConstructs since,
marketEdge opinion since,
